region_id,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,-0.002069444771857839,1.0031550656250978,-1.021972411719879,-0.01942299903770366,0.0,-0.6347063423630871
1,-0.002376618763271643,1.0031550656250978,-1.021882495039541,-0.021882495039541146,0.0,-0.7279811061943404
2,-0.0026809507841072506,1.0031550656250978,-1.0217936226315167,-0.02433089505144644,0.0,-0.8203928928793958
3,-0.01047900850565357,1.0189743171207633,-1.140264468644436,-0.12250827128228448,0.0,-3.4178767111507646
4,-0.011820199478264487,1.0189743171207633,-1.1372421907893928,-0.13724219078939282,0.0,-3.8504681173300126
5,-0.013104364731215944,1.0189743171207633,-1.1343841496220728,-0.15170457682976063,0.0,-4.264666291851993
6,-0.026674268122703022,1.0950305110276348,-1.6042843787577254,-0.5142343461918211,0.0,-9.382261526239047
7,-0.029338720591193447,1.0950305110276348,-1.5716378396770074,-0.5716378396770075,0.0,-10.30045659016988
8,-0.031762636737975705,1.0950305110276348,-1.5428778530021623,-0.62732436317014,0.0,-11.135760603912965
9,-0.04133854385190079,1.407066025359728,-3.1618102311727347,-1.7829211214432918,0.0,-16.45569009345703
10,-0.044843794672314426,1.407066025359728,-2.9823222004396293,-1.9823222004396293,0.0,-17.781996708375527
11,-0.04790192979375047,1.407066025359728,-2.8336367997688807,-2.175263554523206,0.0,-18.939124984975376
12,-0.059075214137501164,2.5240406819607992,-8.61373537537268,-6.130527382471137,0.0,-28.98272517268313
13,-0.06375004922602603,2.5240406819607992,-7.8430228495927805,-6.843022849592781,0.0,-31.035027219419874
14,-0.0677252583865584,2.5240406819607992,-7.228660872355233,-7.532327599261375,0.0,-32.780186084252456
15,-0.103544145549741,6.077101861982213,-26.83518678908399,-20.446644380534625,0.0,-64.25421138193727
16,-0.11149755930201233,6.077101861982213,-23.925377460206953,-22.925377460206946,0.0,-68.40973116166478
17,-0.11816406934542545,6.077101861982213,-21.655588250915123,-25.323689773038637,0.0,-71.8928662292031
18,-0.22397731896475737,16.274473984960522,-82.29046122830417,-63.43486664929841,0.0,-164.56813724894945
19,-0.24089095659810345,16.274473984960522,-72.43364519271333,-71.43364519271319,0.0,-174.68859057821555
20,-0.25493128569930157,16.274473984960522,-64.85636256335536,-79.17382951887711,0.0,-183.0897694657351
21,-0.52359584549649,43.018827722051554,-236.16453796162892,-181.2012407757538,0.0,-427.7472908765824
22,-0.5626506893131644,43.018827722051554,-205.89080633744328,-204.89080633744388,0.0,-453.38448079257853
23,-0.5948155817801508,43.018827722051554,-182.89453153451893,-227.8171968637264,0.0,-474.49882606242465
24,-1.2094215866146634,107.80763612533232,-629.093163224904,-478.2643423903909,0.0,-1065.106166812392
25,-1.2987342560358819,107.80763612533232,-543.9139871926294,-542.9139871926188,0.0,-1127.9865764425554
26,-1.3717694196018062,107.80763612533232,-479.90264370917475,-605.4882859744356,0.0,-1179.4068400199549
27,-2.6702913771475743,254.1106148126429,-1561.012511323078,-1174.5764868928188,0.0,-2502.1914328064713
28,-2.8658174548801547,254.1106148126429,-1339.3538305096604,-1338.3538305096913,0.0,-2648.3418598508188
29,-3.0246493486892483,254.1106148126429,-1174.4451872130537,-1496.8925968326603,0.0,-2767.064382072423
30,-5.592688441761183,564.4775053043785,-3630.5276010371385,-2703.4946647768065,0.0,-5543.298113398225
31,-5.999198460134487,564.4775053043785,-3092.5313586951315,-3091.531358695173,0.0,-5864.304322589161
32,-6.32734503341382,564.4775053043785,-2696.0735020464444,-3467.2014247681777,0.0,-6123.429763012856
