Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00587,14.449052804033272,0.00565,32.62100165896118
2,0.0091,14.394190613063984,0.00466,32.42709352192469
3,0.00484,14.453466997947544,0.00259,32.39274248993024
4,0.00852,14.75373059604317,0.00433,32.01705682906322
5,0.00576,14.677807342959568,0.00243,32.097832373925485
6,0.00733,14.556928845006041,0.00265,31.79453974403441
7,0.00127,14.443197640008293,0.00346,31.597111457027495
8,0.00436,14.851600539986975,0.0049,31.946760143036954
9,0.00348,14.650957305915654,0.00602,32.12867282796651
10,0.00601,14.857649603975005,0.00464,32.60067574400455
11,0.005,14.77649575297255,0.00414,31.66675525298342
12,0.0047,14.780892027076334,0.00172,32.02559445903171
13,0.00183,14.736744289984927,0.00419,32.10134299797937
14,0.0023,14.770590975065716,0.00459,31.516110875993036
15,0.00335,14.8056493710028,0.00705,31.5403886269778
16,0.00583,14.842112818034366,0.0056,32.29667148296721
17,0.00256,14.756188716972247,0.00737,31.458747043972835
18,0.00575,14.767056897981092,0.00296,31.99118410900701
19,0.00271,14.781121178064495,0.00495,31.647321833996102
20,0.00589,14.742600428988226,0.00274,31.4413892889861
21,0.00209,14.665407654945739,0.00701,31.89767282595858
22,0.00785,14.620881290989928,0.00165,31.47316792793572
23,0.00543,14.489774140994996,0.00209,31.984532819944434
24,0.0016,14.877812550985254,0.00547,31.49869405501522
25,0.00711,14.756572732934728,0.00243,32.310377352987416
26,0.00689,14.83293508097995,0.00564,32.12667287804652
27,0.00416,14.977717426023446,0.00348,32.317607261938974
28,0.00517,14.850235106074251,0.00644,32.35359322594013
29,0.00106,14.751472539035603,0.00323,31.6923084910959
30,0.00369,15.001312572974712,0.00376,32.515895762015134
31,0.00257,14.916676386026666,0.00375,31.690591430990025
32,0.01151,14.91013464401476,0.0042,32.60946207889356
33,0.00201,14.976806606980972,0.0024,31.685387837933376
34,0.00504,14.753821489983238,0.00384,31.26868423295673
35,0.00208,14.693360258941539,0.00214,31.832880301983096
36,0.01015,14.909372529014945,0.00435,32.84371457097586
37,0.0081,15.032830402022228,0.00202,31.978795940987766
38,0.0032,15.068129874998704,0.0031,31.552233541966416
39,0.00316,14.7050301899435,0.00266,32.050378529005684
40,0.00773,14.736688202945516,0.00698,31.682057738071308
41,0.0068,14.759237944032066,0.00469,31.553432023967616
42,0.00884,15.023308615898713,0.00584,32.24896604497917
43,0.00859,14.652086512069218,0.00122,31.471699148998596
44,0.00346,14.903574823983945,0.0053,31.765943244099617
45,0.00771,14.691433154977858,0.00111,32.19352476997301
46,0.00243,14.987206113990396,0.00353,33.21742445207201
47,0.00466,14.93493989505805,0.00441,32.113336251000874
48,0.00336,14.922879677964374,0.00241,31.893440004088916
49,0.01112,15.001741369022056,0.00515,32.546437390032224
50,0.0081,14.845149326021783,0.00112,31.544161198078655
