Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00914,14.155122054042295,0.00318,31.292886974988505
2,0.00473,14.661436825059354,0.00225,31.883672448107973
3,0.00796,14.675698803039268,0.00405,31.378732591168955
4,0.01051,14.301426038146019,0.00674,30.90171896200627
5,0.00451,14.170447420096025,0.00478,31.138723071897402
6,0.00373,14.203646678011864,0.00309,31.377011419041082
7,0.00763,14.251222971826792,0.00126,32.02585387113504
8,0.00573,14.16559584485367,0.00353,31.237085588043556
9,0.00256,14.334717549849302,0.00173,31.445556563092396
10,0.00111,14.281877520959824,0.00184,31.575451106997207
