Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00837,15.008528340840712,0.0052,31.452547039138153
2,0.00248,14.448289911961183,0.00375,31.301788537064567
3,0.00209,14.304002566961572,0.00256,31.541664189193398
4,0.00835,14.931297275004908,0.00128,31.57939890702255
5,0.00911,14.572421359131113,0.00227,31.7098619020544
6,0.00781,14.5775675480254,0.00143,31.870661122025922
7,0.00942,14.4268421579618,0.00358,32.23592244205065
8,0.00305,14.340274016140029,0.00362,31.561918689869344
9,0.00558,14.087155250133947,0.00137,31.52860482293181
10,0.00102,14.338017261121422,0.00473,31.490622038021684
11,0.00165,14.250332173891366,0.00232,31.914353416999802
12,0.00314,14.400797779206187,0.00479,31.457796989940107
13,0.00537,14.26396027696319,0.00619,31.448336255038157
14,0.00213,14.50778931309469,0.00565,31.6831243368797
15,0.00427,14.371349158929661,0.0026,32.206708860816434
16,0.01004,14.713191410992295,0.00185,31.331496607977897
17,0.00186,14.447048334171996,0.00093,31.603731198003516
18,0.00512,14.261516390834004,0.003,31.775452171918005
19,0.00219,14.23874585609883,0.00372,31.768018255010247
20,0.00306,14.182291699107736,0.00621,31.68815707718022
21,0.0042,14.586426249938086,0.00199,31.99829019792378
22,0.00684,14.16683965898119,0.00632,31.16314813680947
23,0.00456,14.31549744005315,0.00398,31.396288401912898
24,0.0196,14.266450618160889,0.00384,31.658602750860155
25,0.00294,14.127026678994298,0.00312,31.8210906770546
26,0.0029,14.372165760025382,0.00257,31.61946188402362
27,0.0114,14.379351457813755,0.0153,31.686501304153353
28,0.0063,14.765480053145438,0.00305,31.68906137999147
29,0.0039,14.555528133874759,0.00399,31.90262684901245
30,0.01447,14.190454547060654,0.00592,31.382866700878367
31,0.00693,14.362230544909835,0.00096,31.773702092003077
32,0.00491,14.932279421016574,0.00235,31.245499254902825
33,0.01126,14.206590987974778,0.00293,31.201161988079548
34,0.00062,14.247549184132367,0.00512,31.457340684020892
35,0.00224,14.712270895019174,0.00276,31.803525352850556
36,0.01079,14.31595154502429,0.00245,31.54332496598363
37,0.00653,14.433600501855835,0.00503,31.282109431922436
38,0.00195,14.668549028923735,0.00501,31.93501065298915
39,0.00613,14.344998522894457,0.00711,31.694561744807288
40,0.00258,14.312067594146356,0.00463,31.256562921917066
41,0.00712,14.533759088953957,0.00315,32.132577056996524
42,0.00631,14.294769651023671,0.0067,31.639480124926195
43,0.01237,14.613651112886146,0.0053,31.63747596205212
44,0.00429,14.286887204041705,0.00521,32.16632174211554
45,0.00234,14.508902705973014,0.00234,31.1887862670701
46,0.00204,14.598594681126997,0.00208,31.656721972860396
47,0.00386,14.788130558095872,0.0077,31.644420255208388
48,0.00901,14.481070552021265,0.00255,31.844268089858815
49,0.00658,14.400992614915594,0.00162,32.135079016909
50,0.00132,14.274600007105619,0.00125,31.322934093885124
