Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00037,26.366792488959618,0.001,60.94797955197282
2,0.00023,27.023865435039625,0.00032,60.76216920791194
3,0.00041,27.14340502000414,0.00049,61.31883236707654
4,0.00103,26.543031685985625,0.00036,62.25975318590645
5,0.00056,26.90964997804258,0.00049,63.533009156933986
6,0.00021,26.339430804015137,0.00448,62.6930271780584
7,0.00043,26.30203222099226,0.00097,62.62746559304651
8,0.0004,26.902808767044917,0.00044,62.3078192200046
9,0.00043,26.550782286096364,0.00053,62.4542149619665
10,0.00051,27.249826536979526,0.00031,62.290565815987065
11,0.00167,26.780794108984992,0.0002,62.63523437199183
12,0.00046,26.823771463008597,0.00028,62.63020397000946
13,0.00041,26.38740876992233,0.0002,63.13266984396614
14,0.00047,26.839974735979922,0.00023,62.61235669697635
15,0.00039,26.695544274989516,0.00063,62.75417659408413
16,0.00038,26.47072251001373,0.00138,62.49325203103945
17,0.00048,26.660786363994703,0.0004,62.96974582399707
18,0.00039,26.4797541690059,0.00228,62.944006253033876
19,0.00039,26.407997593982145,0.00027,63.64605821494479
20,0.0004,26.836980356951244,0.0002,62.3382899799617
21,0.00029,26.89591774099972,0.00035,62.60906883701682
22,0.00034,26.408879841910675,0.00037,62.9558987460332
23,0.00037,26.24363462405745,0.00035,62.993875032057986
24,0.00034,27.079649440944195,0.00058,63.27811470790766
25,0.00041,26.52924118109513,0.00032,63.91703945095651
26,0.00123,26.312160080997273,0.00034,62.7168149080826
27,0.00033,26.434494439978153,0.00211,62.62308979697991
28,0.0003,26.93312183197122,0.00031,62.78178555902559
29,0.00125,26.613954548956826,0.00034,62.87802330206614
30,0.00086,26.573370879981667,0.00199,62.4962705320213
31,0.00036,26.615125869982876,0.00318,62.551111627952196
32,0.00067,26.392794609069824,0.00291,62.045397719950415
33,0.00056,27.351662577013485,0.00154,61.818514107959345
34,0.0003,26.654290505917743,0.002,62.90929964906536
35,0.00048,26.84896550211124,0.00073,62.54110035998747
36,0.00052,26.584928144002333,0.00701,62.79502716497518
37,0.00577,26.723535086028278,0.00056,62.5424205820309
38,0.00039,26.60227875004057,0.00027,62.60359612503089
39,0.00037,26.948415647028014,0.00049,62.75388318102341
40,0.00042,26.593830256955698,0.0003,63.305753602064215
41,0.00074,26.649307872052304,0.00041,63.11107172595803
42,0.00042,26.872285677003674,0.00099,62.987033776938915
43,0.00036,27.11983269895427,0.00066,62.76235492900014
44,0.00038,26.644976902985945,0.00341,62.73920619604178
45,0.00162,26.56486388295889,0.0022,62.011589258909225
46,0.00277,26.87921111600008,0.00026,60.50278686895035
47,0.00045,26.437043591053225,0.00041,60.30882965901401
48,0.00034,26.55235094705131,0.00029,60.954419031972066
49,0.00034,26.424969034967944,0.00085,60.477611728943884
50,0.00054,25.968980088015087,0.00043,61.62231563194655
