Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.01148,14.828392667026492,0.00311,33.52161459700437
2,0.00409,15.426293192984303,0.00724,33.388926004990935
3,0.00358,15.128236888005631,0.0063,33.52675356701366
4,0.0055,14.965899081988027,0.00312,33.0706876309996
5,0.00117,15.144831151992548,0.00261,33.37844041301287
6,0.00337,14.657184033014346,0.00282,33.35636822300148
7,0.01313,14.902358933992218,0.00219,32.84575768999639
8,0.00586,14.718266518990276,0.00068,33.13920493499609
9,0.00167,15.349879538989626,0.00309,33.02126567900996
10,0.00655,15.02988650399493,0.00519,33.48859459598316
11,0.00617,15.170106434001355,0.00239,32.523017364990665
12,0.00582,15.167860130983172,0.00702,32.92918011499569
13,0.0034,14.818387761013582,0.00526,33.26478209599736
14,0.01084,14.78825918099028,0.00611,33.53133201698074
15,0.00639,15.045483499008697,0.00766,33.22964609201881
16,0.00174,15.118229387007887,0.00411,33.223821386985946
17,0.00155,15.228089588024886,0.00247,33.45871877600439
18,0.00324,15.009845057007624,0.00304,33.03090247898945
19,0.00449,14.871597819001181,0.00138,33.28481498500332
20,0.00324,14.978143121988978,0.00125,33.145893423992675
21,0.00798,15.006856354011688,0.00485,33.70236762598506
22,0.00586,15.110031892982079,0.00433,33.31323656698805
23,0.0032,15.145889673003694,0.00499,33.08514218198252
24,0.00562,14.965825571998721,0.00077,33.215432308003074
25,0.01023,15.007224349974422,0.00526,33.08742911898298
26,0.00349,15.036757556983503,0.00463,33.10380505002104
27,0.00783,15.070122307981364,0.00302,32.98770497602527
28,0.00931,15.148519034992205,0.00407,33.11838661399088
29,0.002,15.027656547987135,0.00178,33.03225775901228
30,0.00242,14.853944085014518,0.0066,33.904858485009754
