Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01066,0.00375
2,0.00299,0.0066
3,0.01017,0.0009
4,0.00423,0.00266
5,0.00246,0.00297
6,0.00252,0.00372
7,0.00263,0.00493
8,0.00455,0.00242
9,0.00822,0.00681
10,0.00141,0.00498
11,0.00742,0.0027
12,0.00489,0.00651
13,0.00821,0.00155
14,0.00387,0.00182
15,0.00671,0.00773
16,0.00592,0.0057
17,0.00862,0.00449
18,0.01322,0.00544
19,0.00749,0.00233
20,0.00426,0.00496
21,0.00433,0.00245
22,0.0007,0.0046
23,0.01135,0.0044
24,0.00154,0.00337
25,0.01173,0.00305
26,0.01034,0.00361
27,0.00268,0.007
28,0.00586,0.00333
29,0.00414,0.00425
30,0.00087,0.00367
