Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.02251,5.978997127036564,0.01023,8.213252002024092
2,0.05753,5.9396850719931535,0.01208,8.203201049997006
3,0.03941,5.944390246004332,0.01169,8.309650683018845
4,0.0294,5.837912617018446,0.0118,8.284605954017024
5,0.03024,5.963913939020131,0.01964,8.270807295979466
6,0.06481,5.876353562052827,0.02055,8.271531544975005
7,0.0213,5.92171311203856,0.02957,8.27052335103508
8,0.04049,5.948268157953862,0.00978,8.183808494999539
9,0.0226,5.850747618009336,0.01861,8.252145147998817
10,0.06066,5.846465979993809,0.0238,8.261557167978026
11,0.01949,5.994999690039549,0.02159,8.219198858947493
12,0.02375,5.916908356011845,0.0175,8.26757953199558
13,0.06097,5.93987909599673,0.0221,8.159251045028213
14,0.01874,5.9000736749731,0.02024,8.107983576017432
15,0.04573,6.002493551000953,0.01284,8.083364545018412
16,0.02259,5.943347789987456,0.03355,8.253694001003169
17,0.02927,5.89502082800027,0.00772,8.293813350959681
18,0.03641,5.929685929964762,0.01806,8.210899245983455
19,0.07066,5.9465134020429105,0.02831,8.439405554963741
20,0.01965,5.853553423017729,0.02406,8.29372863098979
21,0.05282,5.9878508250112645,0.01373,8.22419743204955
22,0.04121,5.875503382994793,0.03053,8.219281437981408
23,0.05628,6.036918241996318,0.01441,8.29052512603812
24,0.01291,5.864952536008786,0.01185,8.33283778297482
25,0.04569,5.91029032698134,0.01811,8.324774881009944
26,0.03809,5.855267802020535,0.01113,8.198369838995859
27,0.03304,5.868201632983983,0.0162,8.212804665963631
28,0.02287,5.9380498949903995,0.03032,8.226676065009087
29,0.05746,5.8938368140370585,0.00871,8.237723322992679
30,0.03267,5.913435801980086,0.01477,8.322943390987348
31,0.04101,5.903836871962994,0.01596,8.236154626007192
32,0.01181,5.833404039032757,0.02654,8.187450365978293
33,0.04981,5.861837317002937,0.02971,8.123764448042493
34,0.01092,5.802563125034794,0.03583,8.179134275997058
35,0.04079,5.8750711000175215,0.01841,8.299811782024335
36,0.04361,5.885619459033478,0.02233,8.177037097979337
37,0.07504,5.886449237004854,0.02928,8.226394401979633
38,0.04842,5.829142974049319,0.02455,8.244414605025668
39,0.02998,5.979816849983763,0.01198,8.257725842995569
40,0.02323,5.8638744539930485,0.01407,8.360784130985849
41,0.02088,5.880453737976495,0.01272,8.195399005024228
42,0.02623,5.92560759402113,0.01627,8.214255741040688
43,0.01685,5.95059800503077,0.02796,8.214464566030074
44,0.05845,5.939413572021294,0.02039,8.24031823396217
45,0.02253,5.953068787988741,0.02937,8.310296532989014
46,0.00687,5.872592269035522,0.01962,8.264831868989859
47,0.06778,6.1774952649720944,0.01337,8.28424286399968
48,0.0371,5.959723315027077,0.01082,8.286943133978639
49,0.04116,5.9447340440237895,0.02338,8.189066535036545
50,0.04343,5.882390128041152,0.029,8.159084910992533
