region_id,T_low,T_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual,mean_abs_y_PL_error_scaled,rmse_y_PL_error_scaled,max_abs_y_PL_error_scaled,mean_abs_y_PL_error_original,rmse_y_PL_error_original,max_abs_y_PL_error_original,mean_abs_f_PL,max_abs_f_PL,mean_abs_dCa,mean_abs_dCb,max_abs_dCa,max_abs_dCb,mean_abs_df_dCa,mean_abs_df_dCb,max_abs_df_dCa,max_abs_df_dCb,mean_amplification,max_amplification
0,280.0,281.1111111111111,3,7.399803335814163e-06,1.051198048707386e-05,1.762267591209414e-05,1.8348992392054158e-17,7.39980333581748e-06,2.5014795055221405e-06,6.057473227967714e-06,1.758661760375979e-05,2.525298734777791e-06,6.021458112056196e-06,1.747516244154923e-05,7.39580600408602e-06,1.7612100472253266e-05,7.337862093540852e-06,2.3803411079252138e-07,1.747516244154923e-05,5.668796578817137e-07,1.0078799344058245,0.00787993440582436,1.008176097407399,0.008176097407399094,1.0076475043237878,1.0080370359147364
1,281.1111111111111,282.22222222222223,2,6.374688687805755e-09,9.015171183266558e-09,1.2749377354490668e-08,5.579236616974625e-17,6.374688743598121e-09,2.157389415261927e-09,5.1880154282617165e-09,1.2705750784824943e-08,2.1832286719221847e-09,5.15786120760686e-09,1.262522808520572e-08,6.374577673867282e-09,1.2749152148843488e-08,6.3126156524262456e-09,2.370703633403082e-10,1.262522808520572e-08,4.741405046360114e-10,1.0094690230517713,0.009469023051771332,1.0094777335312168,0.009477733531216904,1.0084190959550956,1.0091042360197646
2,282.22222222222223,283.3333333333333,2,1.0962023907872996e-07,1.5502642878570217e-07,2.1924047811500678e-07,2.9375102610779136e-17,1.0962023910082735e-07,3.714603236115721e-08,8.907693656327128e-08,2.1814166983880057e-07,3.76947047476169e-08,8.857490178361353e-08,2.1675919736896532e-07,1.0962908525588794e-07,2.192581627003025e-07,1.0837960257026324e-07,4.7045116691180056e-09,2.1675919736896532e-07,9.409022894146801e-09,1.0110100653699705,0.011010065369970621,1.011049144320033,0.011049144320032872,1.010344086307555,1.0105771306227378
3,283.3333333333333,284.44444444444446,3,8.950851252617517e-06,1.3550418300235821e-05,2.3181062542255663e-05,5.709905566304389e-17,8.950851252604754e-06,3.037399736320149e-06,7.77220558564512e-06,2.3022335750688683e-05,3.0918921563779143e-06,7.730207480790682e-06,2.287643173293219e-05,8.944525179595432e-06,2.316076306684768e-05,8.833224851567678e-06,4.424516175660642e-07,2.287643173293219e-05,1.1458685127418988e-06,1.0125152420654484,0.012515242065448426,1.0130284287287408,0.013028428728740606,1.0117301446523552,1.0124117654362859
4,284.44444444444446,285.55555555555554,2,9.58413340567062e-06,1.3554011445889039e-05,1.9168266811336442e-05,5.11336849598476e-17,9.58413340571869e-06,3.2574157707669174e-06,7.758490434211479e-06,1.899643854630373e-05,3.3275356986125124e-06,7.71893228870188e-06,1.8876048645921628e-05,9.575834097252668e-06,1.915166819270564e-05,9.438024323848992e-06,5.445827719885443e-07,1.8876048645921628e-05,1.0891655439770886e-06,1.0142206705257695,0.01422067052576945,1.0146363652354136,0.014636365235413422,1.0138894047488665,1.0148620605468743
5,285.55555555555554,286.6666666666667,2,1.5968655212750755e-05,2.2583088774721753e-05,3.19373104254871e-05,7.129984536807799e-17,1.5968655212822055e-05,5.436760510050635e-06,1.2896757224133534e-05,3.157310424173332e-05,5.57577513671248e-06,1.2836140189206784e-05,3.137300974176416e-05,1.5949382413585315e-05,3.189876480548572e-05,1.568650488159573e-05,1.0408205285417083e-06,3.137300974176416e-05,2.081641055751149e-06,1.0162915296093598,0.016291529609359638,1.0168676310166957,0.016867631016695757,1.015242600403339,1.0159577799621295
6,286.6666666666667,287.77777777777777,2,3.6845623618494293e-07,5.210758063408168e-07,7.369124723516796e-07,6.841315708383533e-17,3.684562362533561e-07,1.256835534165409e-07,2.967824487939093e-07,7.264390766703599e-07,1.294681887068864e-07,2.9554139076686506e-07,7.218352701121589e-07,3.6838143384240437e-07,7.367628612455694e-07,3.609176382757262e-07,2.7486927844933007e-08,7.218352701121589e-07,5.4973855245776804e-08,1.0193128520462351,0.019312852046235167,1.0194091552948128,0.019409155294812807,1.018104361361612,1.0184758840125054
7,287.77777777777777,288.8888888888889,1,4.133032066782318e-17,4.133032066782318e-17,4.133032066782318e-17,5.0198560586078855e-17,9.152888125390204e-17,2.5905203907920318e-15,4.298919650914798e-15,7.438494264988549e-15,2.6645352591003757e-15,4.247963418737342e-15,7.327471962526033e-15,7.452805733665357e-15,7.452805733665357e-15,7.327471962526033e-15,6.661338147750939e-16,7.327471962526033e-15,6.661338147750939e-16,1.0222984229273278,0.0222984229273277,1.0222984229273278,0.0222984229273277,1.0197502007455093,1.0197502007455093
8,288.8888888888889,290.0,1,2.628474586712265e-17,2.628474586712265e-17,2.628474586712265e-17,6.204346932048299e-17,3.575872345336034e-17,6.106226635438361e-15,1.0076560970557817e-14,1.7430501486614958e-14,6.3652786745175644e-15,1.0051862229311439e-14,1.7319479184152442e-14,1.7871012829295818e-14,1.7871012829295818e-14,1.7319479184152442e-14,1.7763568394002505e-15,1.7319479184152442e-14,1.7763568394002505e-15,1.0255763443793224,0.025576344379322578,1.0255763443793224,0.025576344379322578,1.0228963568550504,1.0228963568550504
9,290.0,291.1111111111111,2,2.4043377735412705e-05,3.4002470878578416e-05,4.808675547068181e-05,1.1161861365738268e-16,2.4043377735398665e-05,8.255277598734345e-06,1.916338440351763e-05,4.686468867876048e-05,8.644638947156539e-06,1.9133917363475356e-05,4.6567683785747604e-05,2.3993780649848027e-05,4.7987561293610914e-05,2.3283841895760382e-05,2.6500749457092354e-06,4.6567683785747604e-05,5.300149890752337e-06,1.0283310762278088,0.028331076227808748,1.0292873556399742,0.029287355639974054,1.0246749847898573,1.0254697316999797
10,291.1111111111111,292.22222222222223,1,3.2693070152111497e-17,3.2693070152111497e-17,3.2693070152111497e-17,4.830120678422922e-17,8.099427693634072e-17,3.811765717879704e-15,6.229462611341892e-15,1.0769163338864018e-14,3.9968028886505635e-15,6.201368327193953e-15,1.0658141036401503e-14,1.110976545135034e-14,1.110976545135034e-14,1.0658141036401503e-14,1.3322676295501878e-15,1.0658141036401503e-14,1.3322676295501878e-15,1.0334794816083503,0.033479481608350244,1.0334794816083503,0.033479481608350244,1.0298274545678225,1.0298274545678225
11,292.22222222222223,293.3333333333333,2,1.1386963858635183e-05,1.610359872312411e-05,2.2773927717256173e-05,2.3012191111004832e-17,1.1386963858644002e-05,3.928802612962468e-06,8.988092979865428e-06,2.1956857019667098e-05,4.171523415733939e-06,9.003014187753526e-06,2.181770547171613e-05,1.1367608772869166e-05,2.273521752223283e-05,1.090885274712683e-05,1.605717500074988e-06,2.181770547171613e-05,3.2114349968193068e-06,1.0374310088625753,0.03743100886257522,1.0382043590339112,0.0382043590339111,1.0316656857111173,1.032386235357263
12,293.3333333333333,294.44444444444446,2,6.4446858004325954e-06,9.114162064200477e-06,1.2889371600858677e-05,8.044780119842443e-17,6.444685800353015e-06,2.229061800806953e-06,5.057224952594496e-06,1.234475767974974e-05,2.385449781559801e-06,5.076981012991842e-06,1.2266522796733348e-05,6.435654337879672e-06,1.2871308660711593e-05,6.1332614055276125e-06,1.023087939144851e-06,1.2266522796733348e-05,2.0461758758472115e-06,1.0428861714302922,0.04288617143029215,1.0435172173807465,0.04351721738074644,1.035335975570558,1.0356691131836175
13,294.44444444444446,295.55555555555554,1,9.757819552369478e-19,9.757819552369478e-19,9.757819552369478e-19,4.954803928258755e-17,4.8572257327350605e-17,1.5543122344752192e-15,2.44921003593365e-15,4.218847493575595e-15,1.7023419710919068e-15,2.4891454409944316e-15,4.218847493575595e-15,4.526760910561478e-15,4.526760910561478e-15,4.218847493575595e-15,8.881784197001252e-16,4.218847493575595e-15,8.881784197001252e-16,1.0494768191093395,0.049476819109339626,1.0494768191093395,0.049476819109339626,1.0384769061222192,1.0384769061222192
