region_id,A_T,B_Ca,B_Cb,B_Cc,b
0,-0.0017586570281610235,-1.0158553659884766,-0.015855365988476495,0.0,-1.5360090790873366
1,-0.00454095631293544,-1.0444042325828569,-0.044404232582856897,0.0,-2.427515750588122
2,-0.007859898146020556,-1.0832176804721647,-0.08321768047216467,0.0,-3.5239826548353275
3,-0.012531721793928677,-1.1479831404598237,-0.1479831404598237,0.0,-5.115281771629451
4,-0.018294869755891174,-1.2498339005386596,-0.24983390053865964,0.0,-7.155620381528047
5,-0.027675561601244396,-1.506396141292933,-0.5063961412929329,0.0,-10.718667239951639
6,-0.034980475705995856,-1.8732266079182713,-0.8732266079182713,0.0,-13.85349362515535
7,-0.03765884310880278,-2.0804871309123945,-1.0804871309123942,0.0,-15.141349647325988
8,-0.04146863543423766,-2.484764488616761,-1.484764488616761,0.0,-17.165280347711068
9,-0.045183754102483216,-3.0405374320058343,-2.040537432005835,0.0,-19.40575127206157
10,-0.04773061612349294,-3.5238021928993652,-2.5238021928993652,0.0,-21.101167661587503
11,-0.05044159858878469,-4.123001739710945,-3.1230017397109457,0.0,-23.031321496576982
12,-0.053424661996641976,-4.865581865100468,-3.8655818651004688,0.0,-25.272537700321166
13,-0.056801192178281,-5.784727078172758,-4.784727078172757,0.0,-27.91444115159707
14,-0.05967281057559404,-6.613700903518042,-5.613700903518043,0.0,-30.221162297733862
15,-0.061783267427266864,-7.243549669804871,-6.243549669804871,0.0,-31.941367694264912
16,-0.06529308209593473,-8.320461356858626,-7.320461356858627,0.0,-34.83634762435838
17,-0.0707299509694635,-10.042208498647838,-9.042208498647836,0.0,-39.38050191244394
18,-0.0754800814313627,-11.585181391004514,-10.585181391004511,0.0,-43.392248992276215
19,-0.07901623117143658,-12.751834352361819,-11.751834352361822,0.0,-46.397663756948546
20,-0.08494658045129277,-14.736323978645817,-13.736323978645807,0.0,-51.467123285207435
21,-0.0917226864070051,-17.03927647377566,-16.03927647377566,0.0,-57.296741472156214
22,-0.09676682830780364,-18.774337911404757,-17.774337911404753,0.0,-61.65832180092741
23,-0.10521645921918787,-21.714915320334033,-20.71491532033403,0.0,-69.00137159182475
24,-0.11484872750417086,-25.112528029140023,-24.11252802914003,0.0,-77.42218485412747
25,-0.12200114735517631,-27.66311267417944,-26.663112674179438,0.0,-83.70610417775416
26,-0.12979440716244972,-30.46652490707196,-29.466524907071914,0.0,-90.58075275302008
27,-0.13828025660497512,-33.545625677836945,-32.545625677836966,0.0,-98.09701609790906
28,-0.1524294343637591,-38.73578955934116,-37.7357895593412,0.0,-110.69522880448207
29,-0.1684642054735923,-44.69423943986196,-43.69423943986201,0.0,-125.063288476651
30,-0.1803106062367965,-49.143760631650444,-48.143760631650196,0.0,-135.73530924873342
31,-0.19999344408443265,-56.617712924387185,-55.61771292438722,0.0,-153.56517595565293
32,-0.2302203957497,-68.272629844417,-67.27262984441671,0.0,-181.16315557354562
33,-0.25625474717129904,-78.46434547333604,-77.46434547333601,0.0,-205.1221350587267
34,-0.2753899449350694,-86.03710316902043,-85.03710316901999,0.0,-222.8332920152978
35,-0.30701957429470017,-98.69359612448173,-97.69359612448133,0.0,-252.28176632291417
36,-0.34249808593859177,-113.07878767726693,-112.07878767726758,0.0,-285.54847069330697
37,-0.3684901010898862,-123.73351692500628,-122.7335169250063,0.0,-310.064658399275
