segmentation_type,n_regions,projection_projection_mae_scaled_mean,projection_projection_mae_scaled_std,projection_projection_mae_scaled_min,projection_projection_mae_scaled_max,projection_projection_max_abs_scaled_mean,projection_projection_max_abs_scaled_std,projection_projection_max_abs_scaled_min,projection_projection_max_abs_scaled_max,projection_projection_rmse_scaled_mean,projection_projection_rmse_scaled_std,projection_projection_rmse_scaled_min,projection_projection_rmse_scaled_max,projection_violation_mean,projection_violation_std,projection_violation_min,projection_violation_max,projection_violation_original_nonlinear_mean,projection_violation_original_nonlinear_std,projection_violation_original_nonlinear_min,projection_violation_original_nonlinear_max,experiment_rmse_total_mean,experiment_rmse_total_std,experiment_rmse_total_min,experiment_rmse_total_max,experiment_violation_mean,experiment_violation_std,experiment_violation_min,experiment_violation_max,experiment_violation_original_nonlinear_mean,experiment_violation_original_nonlinear_std,experiment_violation_original_nonlinear_min,experiment_violation_original_nonlinear_max
adaptive,1,0.06311948043342945,0.0,0.06311948043342945,0.06311948043342945,0.45221440809461627,0.0,0.4522144080946162,0.4522144080946162,0.12735871454375855,0.0,0.12735871454375855,0.12735871454375855,0.7842969435920294,0.0,0.7842969435920294,0.7842969435920294,110.15656944587826,0.0,110.15656944587826,110.15656944587826,0.12653834681381562,0.011147416042966936,0.11541961225130105,0.15400786004274264,0.5956196488546313,0.016773990387047417,0.5697786701804475,0.6184573608628146,83.65634136199951,2.355950797944728,80.02691078186035,86.86395263671875
adaptive,2,0.019027614664894187,0.0,0.019027614664894187,0.019027614664894187,0.24734779004188517,0.0,0.24734779004188517,0.24734779004188517,0.045529730556132374,0.0,0.045529730556132374,0.045529730556132374,0.05898083407342054,0.0,0.05898083407342054,0.05898083407342054,8.284012603387236,0.0,8.284012603387236,8.284012603387236,0.057966676599373934,0.00962070353362422,0.03863698428520412,0.07233456288879807,0.041202051711831895,0.0019054469215490104,0.03886058861144322,0.04520929629334519,5.786936363577842,0.2676249034135097,5.458071827888489,6.3497642278671265
adaptive,3,0.01849340536842445,0.0,0.01849340536842445,0.01849340536842445,0.24734779004188517,0.0,0.24734779004188517,0.24734779004188517,0.04548476016286268,0.0,0.04548476016286268,0.04548476016286268,0.01281671375477852,0.0,0.01281671375477852,0.01281671375477852,1.8001410819590091,0.0,1.8001410819590091,1.8001410819590091,0.06055163644331087,0.01269144609967924,0.04480273990072703,0.07667205514675493,0.009306526554938776,0.0013869620847594157,0.007973985046510694,0.012367134829871333,1.3071260839700698,0.1948024341103045,1.1199671775102615,1.7369964718818665
adaptive,5,0.006378308554914329,0.0,0.006378308554914329,0.006378308554914329,0.10575707205570417,0.0,0.10575707205570417,0.10575707205570417,0.01647415846610297,0.0,0.01647415846610297,0.01647415846610297,0.0031603776415983138,0.0,0.0031603776415983138,0.0031603776415983138,0.4438833279535174,0.0,0.4438833279535174,0.4438833279535174,0.07210391445517697,0.02393215127250451,0.04264043586628233,0.11137424828747379,0.004173020661688688,0.0007335631027403384,0.003454529132257411,0.005541684159128877,0.586111706495285,0.10303084984377436,0.48519769310951233,0.7783440053462982
adaptive,7,0.006253977350227757,0.0,0.006253977350227757,0.006253977350227757,0.10575707205570417,0.0,0.10575707205570417,0.10575707205570417,0.01646299772168157,0.0,0.01646299772168157,0.01646299772168157,0.0012716298586331442,0.0,0.0012716298586331442,0.0012716298586331442,0.17860375065356493,0.0,0.17860375065356493,0.17860375065356493,0.06705609999083503,0.01255853067899,0.04029643436294388,0.08053027293528132,0.001763528856271957,0.0003688685986063999,0.0013920619518795441,0.0024933256215248353,0.24769225306808948,0.051808561200294374,0.19551874697208405,0.3501941114664078
adaptive,9,0.0062462256110340664,0.0,0.0062462256110340664,0.0062462256110340664,0.10575707205570417,0.0,0.10575707205570417,0.10575707205570417,0.01646294506889538,0.0,0.01646294506889538,0.01646294506889538,0.0008136616684187422,0.0,0.0008136616684187422,0.0008136616684187422,0.11428091619163752,0.0,0.11428091619163752,0.11428091619163752,0.06444488687317791,0.012555764435986966,0.04125753847373354,0.08382765314437773,0.0013650634480808304,0.0007206675533834949,0.0008773044753458191,0.003229343963114247,0.1917267419397831,0.10121965627161272,0.12321972101926804,0.45356985926628113
adaptive,11,0.004526561226916375,0.0,0.004526561226916375,0.004526561226916375,0.10575707205570417,0.0,0.10575707205570417,0.10575707205570417,0.014223916019286537,0.0,0.014223916019286537,0.014223916019286537,0.00048198612377790666,0.0,0.00048198612377790666,0.00048198612377790666,0.06769621651619673,0.0,0.06769621651619673,0.06769621651619673,0.07289922168212995,0.011994400145551493,0.04932426719090401,0.08576619398143148,0.0021716397940055197,0.0011087563247797509,0.0008730798428766859,0.004439856580899669,0.30501251444220545,0.15572774726420416,0.12262635305523872,0.6235895603895187
adaptive,30,0.0006902215040005214,0.0,0.0006902215040005214,0.0006902215040005214,0.024500415713806456,0.0,0.024500415713806456,0.024500415713806456,0.0024723846336213743,0.0,0.0024723846336213743,0.0024723846336213743,5.109920503447233e-05,0.0,5.109920503447233e-05,5.109920503447233e-05,0.0071770173730328676,0.0,0.0071770173730328676,0.0071770173730328676,0.07426238268174766,0.007105200977794774,0.06026937992801903,0.08186460122716775,0.003483054232985371,0.0025877545089637495,0.00039653786698413116,0.006855540193326749,0.48920411467552183,0.36345691546178893,0.05569477938115597,0.9628785848617554
adaptive,90,8.098533193254499e-05,0.0,8.098533193254499e-05,8.098533193254499e-05,0.003385525152968971,0.0,0.003385525152968971,0.003385525152968971,0.00031919263274569117,0.0,0.00031919263274569117,0.00031919263274569117,4.482314167040963e-06,0.0,4.482314167040963e-06,4.482314167040963e-06,0.0006295527855399996,0.0,0.0006295527855399996,0.0006295527855399996,0.06420455351123236,0.016674552627313096,0.04126641770862923,0.08521341089751752,0.0016328801282476982,0.0014849836287685757,8.022222518828611e-05,0.0040166337174817905,0.22934229620732366,0.2085698494680022,0.011267422698438168,0.5641467571258545
uniform,1,0.06311948043342945,0.0,0.06311948043342945,0.06311948043342945,0.45221440809461627,0.0,0.4522144080946162,0.4522144080946162,0.12735871454375855,0.0,0.12735871454375855,0.12735871454375855,0.7842969435920294,0.0,0.7842969435920294,0.7842969435920294,110.15656944587826,0.0,110.15656944587826,110.15656944587826,0.12355558779724674,0.0074230119056930685,0.10910265729621549,0.13344508135294308,0.5743047620338477,0.010602590018992948,0.5554387701185812,0.5955066057992077,80.66261224746704,1.4891589375415024,78.01283740997314,83.64045715332031
