region_id,A_T,B_Ca,B_Cb,B_Cc,b
0,-0.0023766187632714947,-1.02188249503954,-0.021882495039539904,0.0,-1.7311361718193932
1,-0.011820199478263729,-1.1372421907893848,-0.13724219078938493,0.0,-4.869442434450531
2,-0.029338720591191306,-1.5716378396769755,-0.5716378396769753,0.0,-11.395487101196776
3,-0.04484379467231035,-2.9823222004395324,-1.9823222004395324,0.0,-19.189062733733756
4,-0.06375004922601549,-7.843022849592457,-6.843022849592458,0.0,-33.55906790137657
5,-0.11149755930198757,-23.92537746020591,-22.925377460205908,0.0,-74.48683302363665
6,-0.2408909565980315,-72.43364519271037,-71.43364519271022,0.0,-190.96306456314525
7,-0.5626506893129797,-205.89080633743646,-204.89080633743447,0.0,-496.40330851454735
8,-1.2987342560354467,-543.9139871925985,-542.9139871926002,0.0,-1235.7942125676836
9,-2.865817454879238,-1339.353830509618,-1338.3538305096254,0.0,-2902.452474663007
10,-5.999198460132604,-3092.531358694993,-3091.5313586950733,0.0,-6428.78182789259
