region_id,T_low,T_high,width,n_points,mean_abs_f_PL,max_abs_f_PL,rmse_f_PL,mean_abs_y_PL_scaled,max_abs_y_PL_scaled
0,280.0,291.25,11.25,14,0.0011632244213566985,0.0034745003547252493,0.0015909737720906365,0.0003948410193227632,0.0033854850444549056
1,291.25,296.875,5.625,3,0.00023359876432629917,0.000290108108194675,0.00023760155494839113,8.107748819464867e-05,0.0002793529542444162
2,296.875,302.5,5.625,5,0.0010545376983158716,0.0020258106967243053,0.0013024053625957295,0.00036752421627401035,0.001781810292663999
3,302.5,308.125,5.625,4,0.0006260316936451099,0.0015050566451180738,0.0008576225490365958,0.00021885752030238273,0.0012855068615788001
4,308.125,313.75,5.625,5,0.00036494073456834475,0.0007843087960871416,0.0005005441567578549,0.00011808090334332425,0.0005650848858237412
5,313.75,325.0,11.25,7,0.000659498319441213,0.0025298971656310953,0.001039907495860707,0.00016107378503153811,0.0009884252525563797
6,325.0,327.8125,2.8125,2,0.0005096093861910317,0.000844739460656968,0.0006099294166586361,9.996782847138119e-05,0.0002618570856431912
7,327.8125,330.625,2.8125,3,0.0002285949376137538,0.00039958466462386433,0.0002747833531262973,3.575306094417819e-05,9.227603574579746e-05
8,330.625,336.25,5.625,5,0.0014290116861847778,0.004255021483202004,0.002156925001770862,0.0001859770534827924,0.0009870662090314397
9,336.25,339.0625,2.8125,3,0.0008552253571770437,0.0019952375707107395,0.0011806638331357602,7.431620583898802e-05,0.0002892290067743053
10,339.0625,341.875,2.8125,1,0.00032892476104973145,0.00032892476104973145,0.00032892476104973145,2.4063283018664155e-05,4.2511785593113416e-05
11,341.875,344.6875,2.8125,2,0.0007011211089865133,0.0013068642305829048,0.0009265503433855168,4.083350768370927e-05,0.00013666474970142062
12,344.6875,347.5,2.8125,2,0.0012974130998045785,0.0014693582114562176,0.0013087573774254034,6.693767810959465e-05,0.0001481353412717823
13,347.5,350.3125,2.8125,3,0.0005944060102647993,0.0017376319862481004,0.0010034328901569567,2.266581751111632e-05,0.00012366180845702068
14,350.3125,351.71875,1.40625,1,3.4410492921743696e-07,3.4410492921743696e-07,3.4410492921743696e-07,1.2142820230801968e-08,2.292442191631494e-08
15,351.71875,353.125,1.40625,1,0.0004942958098430594,0.0004942958098430594,0.0004942958098430594,1.5051355963987175e-05,2.8577029122844877e-05
16,353.125,355.9375,2.8125,2,0.0007251780433881194,0.0011202859632417628,0.0008258289550162881,2.0575405648981526e-05,6.214522537517642e-05
17,355.9375,358.75,2.8125,2,0.0012035965002767934,0.0022329617507761412,0.0015837415680640986,2.896939059480556e-05,0.00010415831544119403
18,358.75,360.15625,1.40625,1,0.00030558494636689915,0.00030558494636689915,0.00030558494636689915,5.95953437165786e-06,1.1555189313283698e-05
19,360.15625,361.5625,1.40625,1,3.060873698235156e-05,3.060873698235156e-05,3.060873698235156e-05,5.153282081245732e-07,1.0022288306488214e-06
20,361.5625,364.375,2.8125,1,1.5218244389103575e-06,1.5218244389103575e-06,1.5218244389103575e-06,2.21207386297273e-08,4.319332386204522e-08
21,364.375,365.78125,1.40625,1,9.570980926909556e-06,9.570980926909556e-06,9.570980926909556e-06,1.202046616873472e-07,2.3551478045558127e-07
