region_id,T_low,T_high,Tss,Cass,Cbss,fss,aT,aCa,aCb
0,280.0,282.0,281.0,0.9927510774488736,1.9855021548977472,3.46944695195361e-18,-0.000994232203142160,-1.00867526807959,-0.00867526807959334
1,282.0,284.0,283.0,0.990556139256624,1.981112278513248,-4.85722573273506e-17,-0.00127719424203120,-1.01129481077620,-0.0112948107761970
2,284.0,286.0,285.0,0.9877690914714689,1.9755381829429377,-1.73472347597681e-18,-0.00163123295925781,-1.01463636523541,-0.0146363652354134
3,286.0,288.0,287.0,0.984259151349224,1.968518302698448,-1.35308431126191e-16,-0.00207059292644725,-1.01887427906870,-0.0188742790687024
4,288.0,290.0,289.0,0.9798788916749956,1.9597577833499915,-1.73472347597681e-17,-0.00261090119771890,-1.02421577332843,-0.0242157733284289
5,290.0,292.0,291.0,0.9744675667209928,1.948935133441985,-6.24500451351651e-17,-0.00326865715281442,-1.03090366150038,-0.0309036615003837
6,292.0,294.0,293.0,0.967857190133426,1.935714380266852,-1.38777878078145e-16,-0.00406042304811555,-1.03921806219836,-0.0392180621983630
7,294.0,296.0,295.0,0.9598817319029236,1.9197634638058472,-6.24500451351651e-17,-0.00500170031527142,-1.04947681910934,-0.0494768191093396
8,296.0,298.0,297.0,0.9503893273643969,1.9007786547287933,-4.85722573273506e-17,-0.00610553678285265,-1.06203456118356,-0.0620345611835618
9,298.0,300.0,299.0,0.9392566931480344,1.8785133862960688,-2.77555756156289e-17,-0.00738098977668578,-1.07728070666993,-0.0772807066699252
10,300.0,302.0,301.0,0.926404158119876,1.852808316239752,6.93889390390723e-16,-0.00883165062125975,-1.09563719193524,-0.0956371919352430
11,302.0,304.0,303.0,0.9118090930514064,1.823618186102813,-2.35922392732846e-16,-0.0104544875764738,-1.11755717824218,-0.117557178242176
12,304.0,306.0,305.0,0.8955153497881658,1.7910306995763317,1.38777878078145e-17,-0.0122392568582102,-1.14352630430348,-0.143526304303480
13,306.0,308.0,307.0,0.8776367799382134,1.7552735598764269,8.88178419700125e-16,-0.0141686519848965,-1.17406808142414,-0.174068081424144
14,308.0,310.0,309.0,0.8583539374656238,1.7167078749312477,-1.11022302462516e-16,-0.0162192260850447,-1.20975473911385,-0.209754739113847
15,310.0,312.0,311.0,0.8379043710047339,1.6758087420094678,-5.55111512312578e-17,-0.0183629718024528,-1.25122431365048,-0.251224313650483
16,312.0,314.0,313.0,0.8165680577701522,1.6331361155403044,-1.38777878078145e-16,-0.0205693277903896,-1.29920420379329,-0.299204203793291
17,314.0,316.0,315.0,0.794650188892659,1.589300377785318,-1.80411241501588e-15,-0.0228073317708249,-1.35454096642792,-0.354540966427916
18,316.0,318.0,317.0,0.7724635809497963,1.5449271618995926,-2.22044604925031e-16,-0.0250476610064107,-1.41823588327289,-0.418235883272890
19,318.0,320.0,319.0,0.7503125815455464,1.5006251630910927,-2.22044604925031e-16,-0.0272643703988556,-1.49148579527323,-0.491485795273234
20,320.0,322.0,321.0,0.7284796962754339,1.4569593925508677,-2.72004641033163e-15,-0.0294362252796370,-1.57572880857845,-0.575728808578454
21,322.0,324.0,323.0,0.7072155187562862,1.4144310375125724,-4.44089209850063e-16,-0.0315476042837619,-1.67269464756746,-0.672694647567458
22,324.0,326.0,325.0,0.6867320370528783,1.3734640741057569,-9.99200722162641e-16,-0.0335890036533965,-1.78445961324569,-0.784459613245691
23,326.0,328.0,327.0,0.6671990636692703,1.3343981273385406,-6.10622663543836e-16,-0.0355572057498709,-1.91350628170222,-0.913506281702223
24,328.0,330.0,329.0,0.6487433688261003,1.2974867376522006,-8.88178419700125e-16,-0.0374551864666732,-2.06278825522321,-1.06278825522321
25,330.0,332.0,331.0,0.6314500356557567,1.2629000713115135,-1.88737914186277e-15,-0.0392918359324861,-2.23580047468781,-1.23580047468781
26,332.0,334.0,333.0,0.615365550371464,1.230731100742928,-9.99200722162641e-16,-0.0410815606947444,-2.43665582588678,-1.43665582588678
27,334.0,336.0,335.0,0.6005021565262312,1.2010043130524624,-3.10862446895044e-15,-0.0428438274736567,-2.67016901970420,-1.67016901970420
