region_id,A_T,B_Ca,B_Cb,B_Cc,b
0,-0.0023766187632714947,-1.02188249503954,-0.021882495039539904,0.0,-1.7311361718193932
1,-0.011820199478263729,-1.1372421907893848,-0.13724219078938493,0.0,-4.869442434450531
2,-0.029338720591191306,-1.5716378396769755,-0.5716378396769753,0.0,-11.395487101196776
3,-0.04484379467231035,-2.9823222004395324,-1.9823222004395324,0.0,-19.189062733733756
4,-0.06375004922601554,-7.843022849592457,-6.84302284959246,0.0,-33.559067901376594
5,-0.11149755930198735,-23.92537746020591,-22.925377460205905,0.0,-74.48683302363656
6,-0.24089095659803084,-72.43364519271046,-71.43364519271017,0.0,-190.963064563145
7,-0.5626506893129752,-205.89080633743546,-204.89080633743487,0.0,-496.4033085145454
8,-1.298734256034873,-543.9139871925818,-542.9139871925906,0.0,-1235.794212567428
9,-2.8658174548792417,-1339.3538305096,-1338.3538305096345,0.0,-2902.4524746630077
10,-5.999198460132654,-3092.531358695328,-3091.531358694908,0.0,-6428.781827892613
