Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.01409,11.069098877022043,0.00502,12.781916039064527
2,0.01171,11.230158383026719,0.0078,12.726449301000684
3,0.00952,11.181938246125355,0.00684,12.684459692100063
4,0.01398,11.132197532104328,0.00836,12.738405033014715
5,0.00844,11.083186508854851,0.00472,12.651504990179092
6,0.01701,11.183183014858514,0.00557,12.601224019890651
7,0.00703,11.274669358041137,0.0044,12.844917886890471
8,0.00479,11.170085262972862,0.00864,12.710387421073392
9,0.01554,11.109433400910348,0.00786,12.699329311028123
10,0.00695,11.302556429989636,0.0038,12.566722655203193
11,0.00644,11.145065039861947,0.00566,12.638966439990327
12,0.00886,11.244867180939764,0.00565,12.773771215928718
13,0.01073,11.227185293100774,0.0041,12.819168126909062
14,0.01267,11.28476633108221,0.00934,12.910718312952667
15,0.00715,11.26264788210392,0.01033,12.631973195122555
16,0.00276,11.285329882986844,0.00626,12.610277930041775
17,0.01143,11.24549756012857,0.01104,12.644961105892435
18,0.00591,11.192735749995336,0.00571,12.753827918088064
19,0.0083,11.260575553169474,0.00456,12.604076842777431
20,0.0195,11.137883551884443,0.01177,12.816709066042677
21,0.00965,11.164630597922951,0.00604,12.631482150871307
22,0.01106,11.133070467039943,0.00727,12.621786640025675
23,0.01525,11.169936166144907,0.00781,12.604969609063119
24,0.00306,11.180085321888328,0.01742,12.621143413940445
25,0.01001,11.131055776961148,0.00864,12.549378722906113
26,0.00988,11.343118496937677,0.0095,12.600453139049932
27,0.00923,11.32944924198091,0.00474,12.576781934127212
28,0.00226,11.103494873037562,0.00596,12.742940342053771
29,0.00174,11.24394814693369,0.00516,12.615389954065904
30,0.01056,11.17179099097848,0.00557,12.575526803964749
31,0.009,11.23601474496536,0.00612,12.602608566870913
32,0.01134,11.117215116042644,0.00841,12.54520018096082
33,0.0062,11.17731735901907,0.00763,12.6371976188384
34,0.01307,11.133022324182093,0.00675,12.696108819916844
35,0.00435,11.160513973096386,0.01259,12.717950833961368
36,0.00912,11.107328342041,0.00553,12.614103428088129
37,0.00926,11.128980050096288,0.00924,12.677338065113872
38,0.00698,11.12576018110849,0.00929,13.029791846871376
39,0.00285,11.21010354696773,0.00741,12.633572803111747
40,0.01001,11.112419116077945,0.00724,12.607321745017543
41,0.00557,11.130469504976645,0.00878,12.821530614048243
42,0.00765,11.146342114079744,0.00533,12.724960776045918
43,0.0043,11.287340300157666,0.00901,12.630480919964612
44,0.00795,11.101085762958974,0.00592,12.920539185870439
45,0.00783,11.157340793171898,0.00464,12.704813796794042
46,0.0099,11.244241746840999,0.02072,12.582630126969889
47,0.00847,11.124363136012107,0.00452,12.622372607002035
48,0.01309,11.152330269105732,0.00634,12.57598310499452
49,0.01057,11.328238446032628,0.007,12.621721853036433
50,0.00589,11.123811780009419,0.00601,12.585993419867009
