Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.01148,11.57140560168773,0.00382,13.619720092974603
2,0.01503,11.70536478003487,0.00623,13.528110564220697
3,0.00632,11.638682255055755,0.00364,13.5571330008097
4,0.00789,11.62295978423208,0.0051,13.565722343046218
5,0.01303,11.730278932023793,0.00877,13.687301230151206
6,0.01277,11.741513590794057,0.00597,13.52284053619951
7,0.00869,11.621539463289082,0.00736,13.700325717683882
8,0.00535,11.525527484249324,0.00745,13.682890265248716
9,0.00537,11.657392957713455,0.00561,13.828635578975081
10,0.00391,11.578828665893525,0.00489,13.567130726296455
11,0.00844,11.681429977994412,0.00693,13.594649295322597
12,0.00616,11.547495806124061,0.00425,13.662107303272933
13,0.00436,11.691821591928601,0.01076,13.648917356971651
14,0.00618,11.662000750657171,0.00639,13.543726557865739
15,0.00993,11.60958795901388,0.00506,13.565885424148291
16,0.02034,11.51225560111925,0.00778,13.51400855788961
17,0.00557,11.763521475251764,0.00302,13.621462312992662
18,0.01436,11.736987217795104,0.00505,13.476538142189384
19,0.01652,11.683520704042166,0.01369,13.578390395268798
20,0.0113,11.565353433601558,0.00818,13.660167390946299
21,0.00789,11.746468431316316,0.00409,13.48962741997093
22,0.0091,11.636490743141621,0.0073,13.568892180919647
23,0.00876,11.575438106898218,0.00825,13.561282710637897
24,0.00637,11.54327426571399,0.0046,13.590715372003615
25,0.00702,11.68323450582102,0.00834,13.57055808417499
26,0.00826,11.52629541605711,0.00753,13.539651528000832
27,0.01709,11.572580976877362,0.01037,13.737461056094617
28,0.01841,11.722687365021557,0.0101,13.514549853745848
29,0.01374,11.749231877736747,0.0028,13.475607063621283
30,0.02362,11.658124674111605,0.00321,13.563146470114589
31,0.00573,11.64101704256609,0.006,13.581567914225161
32,0.01476,11.60335394507274,0.00637,13.616324880626053
33,0.00442,11.64726862218231,0.01064,13.584165870212018
34,0.01135,11.598313205875456,0.0045,13.531999723054469
35,0.00664,11.586019142065197,0.00892,13.697776386048645
36,0.00517,11.571379818953574,0.00789,13.764136797282845
37,0.00766,11.569934091996402,0.00637,13.664415406994522
38,0.00707,11.683125858195126,0.00647,13.55813407804817
39,0.00817,11.656020734924823,0.00599,13.571646590251476
40,0.0116,11.595272798091173,0.00611,13.70844233315438
41,0.00389,11.538832792080939,0.00428,13.805226560216397
42,0.00912,11.376703734043986,0.00727,13.886218213941902
43,0.00915,11.419666282832623,0.00652,14.177919805981219
44,0.02635,11.425518745090812,0.01188,14.108517060987651
45,0.00397,11.478224021848291,0.005,13.712653361726552
46,0.00474,11.42702848277986,0.00956,11.940376189071685
47,0.00904,11.47121931007132,0.00916,9.599435041192919
48,0.00351,11.427682311274111,0.00275,9.5600141370669
49,0.00709,11.54556090477854,0.01396,9.53611783310771
50,0.00964,11.37851637788117,0.00987,9.739225244615227
