Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00943,8.980053037405014,0.00637,16.439116484019905
2,0.00642,8.954332053195685,0.00589,15.944098333828151
3,0.0116,8.97679674392566,0.00739,16.043990838807076
4,0.00315,9.02420582389459,0.00481,16.05223792884499
5,0.01173,8.996596864890307,0.00701,16.191133942920715
6,0.01031,9.0136528047733,0.00158,16.550510514061898
7,0.00575,8.940441337879747,0.00672,16.142760172951967
8,0.00652,9.016374008264393,0.00585,16.426204143092036
9,0.00292,8.99431681027636,0.009,16.37248700996861
10,0.00951,8.907574676908553,0.01073,16.59503072500229
11,0.00554,9.226208817679435,0.00584,15.919850038830191
12,0.00905,8.97798126609996,0.00559,16.31061758287251
13,0.00762,8.959916379768401,0.00611,16.10127781610936
14,0.02293,9.335736396722496,0.00674,15.832050636876374
15,0.00926,9.002845742739737,0.00499,16.44607790885493
16,0.00604,9.030577811878175,0.00571,16.11477931495756
17,0.00293,9.272385915741324,0.00736,16.415155280847102
18,0.00657,8.977240435313433,0.00408,16.680637042038143
19,0.00727,9.011541257612407,0.00223,15.898912894073874
20,0.00313,9.577748619951308,0.01178,16.292302646208555
21,0.00483,9.310860177036375,0.0066,16.120814212132245
22,0.00578,9.01254170620814,0.00544,16.037611885927618
23,0.00458,9.603870040271431,0.00742,16.10421560984105
24,0.00617,8.910694564227015,0.00753,16.01164854178205
25,0.0117,9.01461163815111,0.00582,16.34374858159572
26,0.00699,8.909568973816931,0.00446,15.87614151602611
27,0.00661,8.904859516769648,0.00319,16.048207357060164
28,0.0107,8.980102107860148,0.00939,15.923924495931715
29,0.02228,9.179038492962718,0.00473,16.21749717090279
30,0.00936,8.920656024012715,0.00532,15.998173174913973
31,0.00975,9.145472201984376,0.00673,15.945896784309298
32,0.00659,9.132095174863935,0.0103,16.429305633995682
33,0.01157,9.484243070706725,0.00627,16.55513909086585
34,0.01451,9.112483880016953,0.00728,16.001143048983067
35,0.04939,9.014621207024902,0.0069,16.46976436674595
36,0.00671,9.341782480012625,0.00676,16.183237424120307
37,0.00964,8.923165903892368,0.01194,16.060037682764232
38,0.0082,8.888151159975678,0.00517,16.607262193690985
39,0.01652,9.114364456851035,0.00597,15.938099523074925
40,0.00924,8.972498661838472,0.00363,16.37205688515678
41,0.01199,8.961041794158518,0.00768,15.996361624915153
42,0.01,8.88492275075987,0.00443,15.953567462041974
43,0.00863,9.273344894871116,0.00948,16.55490711890161
44,0.00597,9.04565617069602,0.00704,15.94760374026373
45,0.00634,9.099077928811312,0.0039,15.954793855082244
46,0.01178,9.09950888203457,0.00497,16.21856444980949
47,0.00883,8.96012757671997,0.0077,15.959508595056832
48,0.01492,8.977392797358334,0.00533,16.068415840156376
49,0.00913,9.58495649183169,0.00328,16.43494213791564
50,0.00447,9.122544890269637,0.00355,16.512443842832
