Temperature (T),viol_nseg_1,viol_nseg_2,viol_nseg_3,viol_nseg_5,viol_nseg_7,viol_nseg_9
280.0,2.7946688305746648e-06,2.837775081587779e-07,2.650458990061111e-07,7.98557131531652e-08,2.519096522490827e-07,1.240018765447104e-07
280.45112781954884,2.794732381516951e-06,2.824113281008067e-07,2.6528920216151164e-07,7.994871031868911e-08,2.5193974106940686e-07,1.241047202782397e-07
280.90225563909775,2.7947959466700922e-06,2.810485817406061e-07,2.6554004151080335e-07,8.00417065960346e-08,2.5196983077790946e-07,1.2418140249437215e-07
281.3533834586466,2.7948594976123786e-06,2.796858353804055e-07,2.657908817482735e-07,8.01347033174693e-08,2.5199992004232286e-07,1.242580851545938e-07
281.8045112781955,2.7949230627655197e-06,2.783230854674912e-07,2.660417210975652e-07,8.0227700038904e-08,2.5203000930673625e-07,1.2433476781481545e-07
282.25563909774434,2.794986627918661e-06,2.7696033910729057e-07,2.6629256222321374e-07,8.03206967603387e-08,2.5206009857114964e-07,1.244114500309479e-07
282.70676691729324,2.795050193071802e-06,2.7559759274708995e-07,2.6654340157250545e-07,8.041369348177341e-08,2.5209018783556303e-07,1.2448813269116954e-07
283.1578947368421,2.7951137440140883e-06,2.7423484638688933e-07,2.667942418099756e-07,8.050669020320811e-08,2.5212027754406563e-07,1.2456481490730198e-07
283.609022556391,2.7951773091672294e-06,2.728721000266887e-07,2.670450811592673e-07,8.059968692464281e-08,2.52150366808479e-07,1.2464149756752363e-07
284.0601503759398,2.7952408743203705e-06,2.715093536664881e-07,2.672959213967374e-07,8.06926832019883e-08,2.521804560728924e-07,1.2471818022774528e-07
284.5112781954887,2.7953044394735116e-06,2.701466073062875e-07,2.675467607460291e-07,8.0785679923423e-08,2.52210545781395e-07,1.2479486244387772e-07
284.9624060150376,2.7953680046266527e-06,2.6878385916973e-07,2.6779760098349925e-07,8.08786766448577e-08,2.522406350458084e-07,1.2487154510409937e-07
285.4135338345865,2.795431555568939e-06,2.674211128095294e-07,2.680484412209694e-07,8.097167336629241e-08,2.522707243102218e-07,1.2494822776432102e-07
285.8646616541353,2.79549512072208e-06,2.660583664493288e-07,2.682992805702611e-07,8.10646696436379e-08,2.523008140187244e-07,1.2502490998045346e-07
286.3157894736842,2.7955586858752213e-06,2.6469562008912817e-07,2.6855012169590964e-07,8.11576663650726e-08,2.523309028390486e-07,1.251015926406751e-07
286.76691729323306,2.7956222368175077e-06,2.633328719525707e-07,2.6880096015702293e-07,8.12506630865073e-08,2.523609925475512e-07,1.2517827507885215e-07
287.21804511278197,2.7956858161815035e-06,2.619701255923701e-07,2.6905180039449306e-07,8.1343659807942e-08,2.5239108181196457e-07,1.252549577390738e-07
287.6691729323308,2.79574936712379e-06,2.606073792321695e-07,2.693026406319632e-07,8.14366565293767e-08,2.5242117107637796e-07,1.2533164017725085e-07
288.1203007518797,2.7958129180660762e-06,2.5924463287196886e-07,2.695534808694333e-07,8.152965325081141e-08,2.5245126078488056e-07,1.254083228374725e-07
288.57142857142856,2.795876497430072e-06,2.5788188651176824e-07,2.69804320218725e-07,8.162264997224611e-08,2.5248134960520474e-07,1.2548500505360494e-07
289.02255639097746,2.7959400483723584e-06,2.565191401515676e-07,2.7005516045619515e-07,8.171564669368081e-08,2.5251143931370734e-07,1.2556168771382659e-07
289.4736842105263,2.7960036135254995e-06,2.5515639023865333e-07,2.7030599980548686e-07,8.180864341511551e-08,2.5254152902220994e-07,1.2563837037404824e-07
