Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00954,8.00819872203283,0.00517,11.475801103981212
2,0.00269,8.14489168790169,0.00177,11.485870166216046
3,0.00605,8.118709577945992,0.00453,11.571213557152078
4,0.00641,8.078227123944089,0.00963,11.332080275053158
5,0.00355,8.102266520028934,0.004,11.444336879998446
6,0.00846,8.062025424093008,0.00998,11.922394812107086
7,0.02926,8.046153329778463,0.00408,11.365960210096091
8,0.00379,8.035884847864509,0.00488,11.369355127913877
9,0.00948,8.071257651783526,0.00456,11.34057634905912
10,0.00902,8.031945001101121,0.00501,11.363087619887665
11,0.01085,8.288438790012151,0.00762,11.346522561041638
12,0.00952,8.099963057087734,0.00525,11.51444505318068
13,0.00356,8.22448878386058,0.00425,11.317938399966806
14,0.00536,8.03926265402697,0.00408,11.29886386403814
15,0.01258,8.012773073045537,0.00333,11.343869287986308
16,0.0059,8.048954077996314,0.00469,11.433365795062855
17,0.00943,8.150853518163785,0.00593,11.404461414087564
18,0.00827,8.061259022913873,0.00501,11.509295484982431
19,0.01004,8.076668648049235,0.00512,11.31311037694104
20,0.01846,8.120273451087996,0.00515,11.354393434012309
21,0.00378,8.040961564984173,0.00855,11.527419446967542
22,0.00799,8.028380766976625,0.00325,11.352054944029078
23,0.0063,8.026097148191184,0.00391,11.3280058382079
24,0.00976,8.062254222808406,0.00328,11.493073241785169
25,0.00692,8.17112232092768,0.00389,11.342501220991835
26,0.01156,8.09089037985541,0.00589,11.295067726867273
27,0.00767,8.219675329048187,0.01018,11.320442523807287
28,0.00872,8.028418408939615,0.00738,11.419984956039116
29,0.00852,8.066612486029044,0.00811,11.363949585938826
30,0.01394,8.066345626022667,0.00583,11.366757712792605
31,0.00816,8.051411903928965,0.00899,11.347281839000061
32,0.00672,8.072682942962274,0.00485,11.375120529904962
33,0.00706,8.01157487812452,0.00363,11.483816519146785
34,0.00718,8.06481638806872,0.00727,11.319564685923979
35,0.00991,8.014735182980075,0.00728,11.342673180857673
36,0.00904,8.168128031073138,0.00778,11.340084619820118
37,0.00804,8.084013325162232,0.00481,11.335708474973217
38,0.00755,8.091291540069506,0.00384,11.503860833821818
39,0.00439,8.126011315966025,0.0131,11.855442543979734
40,0.00317,8.166284407954663,0.00699,11.330592512851581
41,0.00227,8.102277928963304,0.00617,11.383482818026096
42,0.01076,8.07668358203955,0.00775,11.39006672706455
43,0.00573,8.045510603813455,0.00673,11.241817587055266
44,0.00353,8.023854739964008,0.00586,11.345057148020715
45,0.01413,8.12711595511064,0.00873,11.373494597850367
46,0.01148,8.117384481010959,0.00463,11.683406226104125
47,0.01123,8.058901245938614,0.00584,11.414336146088317
48,0.00866,8.040821637958288,0.00531,11.501735645812005
49,0.00915,8.038544703042135,0.00299,11.371406754013151
50,0.00468,7.993269233033061,0.00653,11.334101727930829
