Temperature (T),viol_nseg_1,viol_nseg_2,viol_nseg_3,viol_nseg_5,viol_nseg_7,viol_nseg_9
280.0,2.8212265590354946e-06,2.9828723668856583e-07,2.5809330761461524e-07,8.720727429079034e-08,2.4716347990505483e-07,1.2330009058203473e-07
280.45112781954884,2.8217854151080246e-06,2.9686805902429114e-07,2.5838544104317407e-07,8.724243105717733e-08,2.47245371731708e-07,1.233777662257296e-07
280.90225563909775,2.822341414798757e-06,2.954488795836596e-07,2.5867757269537606e-07,8.72775869353859e-08,2.473099498523368e-07,1.2345544164737987e-07
281.3533834586466,2.822897414489489e-06,2.940297001430281e-07,2.5896970523575646e-07,8.731274370177289e-08,2.4737452797296555e-07,1.2353311706903014e-07
281.8045112781955,2.8234533999693667e-06,2.926105224787534e-07,2.5926183777613687e-07,8.734790046815988e-08,2.4743910653768353e-07,1.236107922686358e-07
282.25563909774434,2.8240094138709537e-06,2.911913430381219e-07,2.595539703165173e-07,8.738305679045766e-08,2.475036846583123e-07,1.2368846746824147e-07
282.70676691729324,2.8245653993508313e-06,2.897721653738472e-07,2.5984610108054085e-07,8.741821311275544e-08,2.4756826277894106e-07,1.2376614288989174e-07
283.1578947368421,2.825121384830709e-06,2.883529859332157e-07,2.601382345090997e-07,8.745336943505322e-08,2.4763284134365904e-07,1.23843818311542e-07
283.609022556391,2.825677398732296e-06,2.86933808268941e-07,2.6043036616130166e-07,8.7488525757351e-08,2.47697419908377e-07,1.2392149395523688e-07
284.0601503759398,2.826233398423028e-06,2.855146306046663e-07,2.6072249870168207e-07,8.752368252373799e-08,2.477619980290058e-07,1.2399916915484255e-07
284.5112781954887,2.8267893839029057e-06,2.8409544938767795e-07,2.6101463035388406e-07,8.755883884603577e-08,2.4782657659372376e-07,1.240768443544482e-07
284.9624060150376,2.827345383593638e-06,2.8267627172340326e-07,2.613067637824429e-07,8.759399561242276e-08,2.4789115515844173e-07,1.241545199981431e-07
285.4135338345865,2.8279013832843702e-06,2.812570940591286e-07,2.615988963228233e-07,8.762915193472054e-08,2.479557332790705e-07,1.2423219519774875e-07
285.8646616541353,2.8284573829751025e-06,2.7983791461849705e-07,2.6189102708684686e-07,8.766430870110753e-08,2.480203118437885e-07,1.2430987084144363e-07
286.3157894736842,2.829013382665835e-06,2.7841873695422237e-07,2.621831605154057e-07,8.76994645793161e-08,2.4808489040850645e-07,1.243875460410493e-07
286.76691729323306,2.829569382356567e-06,2.7699955751359084e-07,2.624752921676077e-07,8.773462134570309e-08,2.481494685291352e-07,1.2446522146269956e-07
287.21804511278197,2.8301253678364446e-06,2.7558037984931616e-07,2.627674247079881e-07,8.776977766800087e-08,2.48214046649764e-07,1.2454289688434983e-07
287.6691729323308,2.830681367527177e-06,2.7416120040868464e-07,2.630595572483685e-07,8.780493399029865e-08,2.4827862521448196e-07,1.246205720839555e-07
288.1203007518797,2.831237367217909e-06,2.7274202274440995e-07,2.633516897887489e-07,8.784009075668564e-08,2.4834320377919994e-07,1.2469824772765037e-07
288.57142857142856,2.8317933669086415e-06,2.7132284330377843e-07,2.6364382055277247e-07,8.787524752307263e-08,2.484077818998287e-07,1.2477592292725603e-07
289.02255639097746,2.8323493665993738e-06,2.6990366563950374e-07,2.639359539813313e-07,8.79104034012812e-08,2.4847236002045747e-07,1.248535985709509e-07
289.4736842105263,2.8329053520792513e-06,2.684844844225154e-07,2.642280856335333e-07,8.794556016766819e-08,2.4853693858517545e-07,1.2493127377055657e-07
289.9248120300752,2.8334613659808383e-06,2.670653067582407e-07,2.645202181739137e-07,8.798071648996597e-08,2.486015167058042e-07,1.2500894941425145e-07
290.37593984962405,2.834017351460716e-06,2.65646129093966e-07,2.648123507142941e-07,8.801587281226375e-08,2.486660952705222e-07,1.250866246138571e-07
290.82706766917295,2.8345733369405934e-06,2.642269514296913e-07,2.651044832546745e-07,8.805102957865074e-08,2.4873067339115096e-07,1.2516430025755199e-07
291.2781954887218,2.8351293508421804e-06,2.628077719890598e-07,2.653966157950549e-07,8.808618545685931e-08,2.4879525195586893e-07,1.2524197567920226e-07
291.7293233082707,2.8356853505329127e-06,2.613885925484283e-07,2.656887465590785e-07,8.81213422232463e-08,2.488598305205869e-07,1.2531965110085252e-07
292.18045112781954,2.8362413360127903e-06,2.599694148841536e-07,2.659808790994589e-07,8.815649854554408e-08,2.489244090853049e-07,1.253973263004582e-07
292.63157894736844,2.8367973357035225e-06,2.585502372198789e-07,2.662730116398393e-07,8.819165531193107e-08,2.4898898720593365e-07,1.2547500150006385e-07
293.0827067669173,2.8373533496051095e-06,2.571310577792474e-07,2.665651441802197e-07,8.822681163422885e-08,2.490535653265624e-07,1.2555267714375873e-07
293.5338345864662,2.837909335084987e-06,2.557118801149727e-07,2.668572758324217e-07,8.826196840061584e-08,2.491181438912804e-07,1.256303523433644e-07
293.98496240601503,2.8384653347757194e-06,2.542927006743412e-07,2.671494083728021e-07,8.829712427882441e-08,2.4918272245599837e-07,1.2570802754297006e-07
294.43609022556393,2.8390213344664517e-06,2.5287352123370965e-07,2.674415400250041e-07,8.83322810452114e-08,2.4924730057662714e-07,1.2578570318666493e-07
294.8872180451128,2.8395773199463292e-06,2.5145434179307813e-07,2.677336725653845e-07,8.836743736750918e-08,2.493118786972559e-07,1.258633786083152e-07
295.3383458646617,2.8401333196370615e-06,2.5003516412880344e-07,2.680258051057649e-07,8.840259368980696e-08,2.493764577060631e-07,1.2594105380792087e-07
295.7894736842105,2.8406893193277938e-06,2.4861598646452876e-07,2.683179376461453e-07,8.843775045619395e-08,2.4944103582669186e-07,1.2601872922957114e-07
296.2406015037594,2.8412453048076713e-06,2.471968088002541e-07,2.686100692983473e-07,8.847290677849173e-08,2.4950561439140984e-07,1.260964044291768e-07
296.69172932330827,2.8418013187092583e-06,2.4577762935962255e-07,2.689022018387277e-07,8.850806310078951e-08,2.495701929561278e-07,1.2617408007287167e-07
297.14285714285717,2.8423573183999906e-06,2.4435844991899103e-07,2.691943334909297e-07,8.85432198671765e-08,2.496347710767566e-07,1.2625176837310903e-07
297.593984962406,2.842913318090723e-06,2.4293927225471634e-07,2.694864660313101e-07,8.857837574538507e-08,2.4969934919738535e-07,1.2633042478782386e-07
298.0451127819549,2.8434693035706005e-06,2.4152009459044166e-07,2.697785985716905e-07,8.861353295586127e-08,2.497639277621033e-07,1.2648241476398425e-07
298.49624060150376,2.8440253174721875e-06,2.4010091514981013e-07,2.700707311120709e-07,8.864868927815905e-08,2.498285063268213e-07,1.319586697690056e-07
298.9473684210526,2.844581302952065e-06,2.386817357091786e-07,2.703628636524513e-07,8.868384560045683e-08,2.4989308444745006e-07,4.990628044154732e-07
299.3984962406015,2.8451373026427973e-06,2.3726255804490393e-07,2.706549953046533e-07,8.871900236684382e-08,2.4995766256807883e-07,2.2529957624639607e-05
299.8496240601504,2.8456933023335296e-06,2.358433786042724e-07,2.709471278450337e-07,8.87541586891416e-08,2.500222411327968e-07,0.000819675944373266
300.30075187969925,2.846249287813407e-06,2.3442420093999772e-07,2.712392594972357e-07,8.878931456735017e-08,2.500868196975148e-07,0.00035358139441488134
300.7518796992481,2.846805301714994e-06,2.330050214993662e-07,2.715313920376161e-07,8.882447133373716e-08,2.5015139781814355e-07,3.312406011701796e-07
301.203007518797,2.8473612871948717e-06,2.315858438350915e-07,2.718235245779965e-07,8.885962810012416e-08,2.502159759387723e-07,3.278156563979451e-07
301.65413533834584,2.847917286885604e-06,2.3016666439445999e-07,2.7211565711837693e-07,8.889478442242194e-08,2.502805545034903e-07,2.977722086683343e-07
302.10526315789474,2.8484732865763362e-06,2.287474867301853e-07,2.724077887705789e-07,8.892994074471972e-08,2.5034513306820827e-07,2.972348545071668e-07
302.5563909774436,2.849029272056214e-06,2.2732830728955378e-07,2.726999213109593e-07,8.89650975111067e-08,2.5040971163292625e-07,2.974289055046597e-07
303.0075187969925,2.849585285957801e-06,2.259091296252791e-07,2.729920529631613e-07,8.900025338931528e-08,2.5047432217206733e-07,2.9763546383065886e-07
303.45864661654133,2.850141285648533e-06,2.2448995018464757e-07,2.732841855035417e-07,8.903541015570227e-08,2.505425622523205e-07,2.9784220956230456e-07
303.90977443609023,2.8506972853392654e-06,2.2307077252037288e-07,2.7357631804392213e-07,8.907056692208926e-08,2.510090375551499e-07,2.980489570703071e-07
304.3609022556391,2.851253270819143e-06,2.2165159307974136e-07,2.7386845058430254e-07,8.910572324438704e-08,2.9389994793405094e-07,2.9825570546648805e-07
304.812030075188,2.851809270509875e-06,2.2023241363910984e-07,2.741605822365045e-07,8.914087956668482e-08,4.760187694685669e-06,2.984624529744906e-07
305.2631578947368,2.8523652702006075e-06,2.188132341984783e-07,2.7445271477688493e-07,8.91760363330718e-08,0.0004580814473436057,2.986692004824931e-07
305.7142857142857,2.852921255680485e-06,2.1739405653420363e-07,2.7474484731726534e-07,8.921119221128038e-08,0.025486238906163194,2.988759488786741e-07
306.16541353383457,2.853477269582072e-06,2.1597487886992894e-07,2.7503697896946733e-07,8.924634897766737e-08,0.0006579030823061771,2.990826963866766e-07
306.61654135338347,2.8540332550619496e-06,2.1455570120565426e-07,2.7532911150984773e-07,8.928150574405436e-08,7.5306623799065164e-06,2.9928944478285757e-07
307.0676691729323,2.8545892689635366e-06,2.1313652354137957e-07,2.7562124405022814e-07,8.931666162226293e-08,8.464032728028315e-07,2.994961922908601e-07
307.5187969924812,2.855145254443414e-06,2.117173423243912e-07,2.7591337659060855e-07,8.935181838864992e-08,9.523804926914181e-07,2.9970294068704106e-07
307.96992481203006,2.8557012541341464e-06,2.1029816466011653e-07,2.762055073546321e-07,8.93869747109477e-08,9.549636850181287e-07,2.999096873068652e-07
308.42105263157896,2.8562572538248787e-06,2.0887898699584184e-07,2.7649764078319095e-07,8.942213103324548e-08,9.562735243662246e-07,3.0011643570304614e-07
308.8721804511278,2.856813253515611e-06,2.0745980755521032e-07,2.7678977243539293e-07,8.945728779963247e-08,9.5756786322454e-07,3.0032318321104867e-07
309.3233082706767,2.8573692532063433e-06,2.0604062989093563e-07,2.7708190497577334e-07,8.949244456601946e-08,9.588620137890302e-07,3.0052993160722963e-07
309.77443609022555,2.857925238686221e-06,2.046214504503041e-07,2.7737403751615375e-07,8.952760044422803e-08,9.601561625771637e-07,3.0073667911523216e-07
310.22556390977445,2.858481252587808e-06,2.0320227100967259e-07,2.7766617005653416e-07,8.956275721061502e-08,9.614503113652972e-07,3.009434275114131e-07
310.6766917293233,2.8590372380676854e-06,2.017830933453979e-07,2.7795830259691456e-07,8.959791308882359e-08,9.627444619297876e-07,3.011501759075941e-07
311.1278195488722,2.859593223547563e-06,2.0036391390476638e-07,2.7825043424911655e-07,8.963306985521058e-08,9.64038610717921e-07,3.013569225274182e-07
311.57894736842104,2.86014923744915e-06,1.989447362404917e-07,2.7854256678949696e-07,8.966822662159757e-08,9.653327595060546e-07,3.0156367092359915e-07
312.03007518796994,2.8607052229290275e-06,1.97525558576217e-07,2.7883469844169895e-07,8.970338338798456e-08,9.666269065178312e-07,3.017704184316017e-07
312.4812030075188,2.86126122261976e-06,1.9610638091194232e-07,2.7912683098207935e-07,8.973853926619313e-08,9.679210570823216e-07,3.0197716682778264e-07
312.9323308270677,2.861817222310492e-06,1.9468719969495396e-07,2.7941896352245976e-07,8.977370180573985e-08,9.69215207646812e-07,3.021839143357852e-07
313.38345864661653,2.862373236212079e-06,1.9326802203067928e-07,2.7971109606284017e-07,8.98094114631931e-08,9.705093564349454e-07,3.0239066273196613e-07
313.83458646616543,2.8629292216919566e-06,1.918488443664046e-07,2.8000322771504216e-07,8.989548394566782e-08,9.71803505223079e-07,3.0259741023996867e-07
314.2857142857143,2.863485221382689e-06,1.9042966492577307e-07,2.8029536025542257e-07,9.461500383167731e-08,9.730976540112124e-07,3.028041577479712e-07
314.7368421052632,2.864041221073421e-06,1.8901048726149838e-07,2.8058749190762455e-07,5.255730988196206e-07,9.74391802799346e-07,3.0301090614415216e-07
315.187969924812,2.8645972065532987e-06,1.8759130782086686e-07,2.8087962444800496e-07,4.015106264754209e-05,9.756859515874794e-07,3.032176536521547e-07
315.6390977443609,2.865153206244031e-06,1.8617212838023534e-07,2.8117175610020695e-07,0.003588541928910338,9.769801003756129e-07,3.0342440116015723e-07
316.09022556390977,2.8657092059347633e-06,1.847529489396038e-07,2.8146388864058736e-07,0.23626794635330484,9.782742491637464e-07,3.036311495563382e-07
316.5413533834586,2.866265191414641e-06,1.8333377127532913e-07,2.8175602029278934e-07,0.0036855975101381944,9.795683979518799e-07,3.038378961761623e-07
316.9924812030075,2.866821205316228e-06,1.8191459361105444e-07,2.8204815372134817e-07,4.138535456021941e-05,9.808625467400134e-07,3.0404463924327274e-07
317.4436090225564,2.8673771907961054e-06,1.8049541594677976e-07,2.8234028537355016e-07,5.906314548553837e-07,9.821566973045037e-07,3.0425088493046815e-07
317.89473684210526,2.8679331904868377e-06,1.790762347297914e-07,2.8263241791393057e-07,1.3417307087593144e-07,9.834508460926372e-07,3.044126026807703e-07
318.3458646616541,2.86848919017757e-06,1.776570570655167e-07,2.82924550454311e-07,1.2718344066797727e-07,9.847449966571276e-07,3.0057739408562156e-07
318.796992481203,2.869045204079157e-06,1.7623787940124203e-07,2.8321668210651296e-07,1.2520076708710803e-07,9.86039145445261e-07,6.194141644044748e-08
319.2481203007519,2.8696011895590345e-06,1.7481870173696734e-07,2.8350881375871495e-07,1.2327386045285493e-07,9.873332942333946e-07,3.258849707687972e-05
319.69924812030075,2.870157175038912e-06,1.7339952229633582e-07,2.8380094629909536e-07,1.2134757199078194e-07,9.88627443021528e-07,0.002812928145734084
320.1503759398496,2.8707131747296444e-06,1.719803428557043e-07,2.8409307883947577e-07,1.194212906341363e-07,9.899215918096615e-07,0.0507620683113057
320.6015037593985,2.8712691744203767e-06,1.705611651914296e-07,2.8438521137985617e-07,1.1749500927749068e-07,9.91215740597795e-07,0.0006823739356338621
321.05263157894734,2.8718251883219637e-06,1.6914198575079809e-07,2.846773439202366e-07,1.1556872792084505e-07,9.925098893859285e-07,6.5559881630150585e-06
321.50375939849624,2.8723811738018412e-06,1.6772280631016656e-07,2.8496947557243857e-07,1.1364244656419942e-07,9.93804038174062e-07,9.25437023013842e-07
321.9548872180451,2.8729371592817188e-06,1.6630362864589188e-07,2.85261608112819e-07,1.1171616520755379e-07,9.950981869621955e-07,1.0099140403951878e-06
322.406015037594,2.8734931731833058e-06,1.648844509816172e-07,2.8555373976502096e-07,1.0978988385090815e-07,9.963923375266859e-07,1.01272534358543e-06
