Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.0003,8e-05
2,0.00017,0.00015
3,0.00014,0.00011
4,0.0003,0.00015
5,0.00012,0.00027
6,0.00036,0.00016
7,0.00021,0.00021
8,0.00148,0.00028
9,0.0003,0.00249
10,0.00022,0.00078
11,0.00021,0.0004
12,0.00661,0.00049
13,0.00253,8e-05
14,0.00013,0.00049
15,0.00017,0.00018
16,0.0001,0.00413
17,0.00025,0.00068
18,0.0002,0.00753
19,0.00025,0.00035
20,9e-05,0.00016
21,0.00018,0.00024
22,0.0002,0.00019
23,0.00029,0.00019
24,0.00029,0.00021
25,0.00667,0.00025
26,0.00015,0.00013
27,0.0002,0.00266
28,0.00019,0.00042
29,6e-05,0.00893
30,0.00021,0.00023
31,0.00108,0.00017
32,0.00022,0.00012
33,0.00042,0.00046
34,0.00014,0.00022
35,0.00017,0.0006
36,0.00023,0.00028
37,0.00023,0.00021
38,0.00012,0.00406
39,0.00036,0.00011
40,0.00072,7e-05
41,6e-05,0.00014
42,4e-05,0.00035
43,0.00019,0.00046
44,0.00021,0.00113
45,0.00047,0.0008
46,0.00026,0.00047
47,0.0001,0.00087
48,0.00026,0.00014
49,0.00017,0.00025
50,0.00071,0.0003
