region,T_lo,T_hi,A,B_Ca,B_Cb,B_Cc,b,max_err,mean_err,n_points
1,280.0,288.3366733466934,-0.00153325087832491,-1.0137047921709665,-0.013704792141119915,0.0,-1.4653808228252059,0.0015542612146239925,0.0005911252996777936,14
2,288.97795591182364,297.9559118236473,-0.004266270978094296,-1.0414267006413114,-0.04142670060843564,0.0,-2.33820260707999,0.00428342523657441,0.0015090346809213786,15
3,298.59719438877755,307.5751503006012,-0.010528148040866991,-1.1185890077917982,-0.11858900775350151,0.0,-4.426231698488275,0.005918097074071886,0.002186941459632991,15
4,308.21643286573146,317.1943887775551,-0.020241620855149245,-1.2916968882021458,-0.291696888142165,0.0,-7.866778936591187,0.004034191116333248,0.0011251547409331759,15
5,317.8356713426854,326.17234468937875,-0.03084212432669098,-1.6384081043402388,-0.638408104249033,0.0,-12.023575052404839,0.0045098699526741615,0.0016665416482796428,14
6,326.813627254509,335.79158316633266,-0.03956521452130879,-2.2642925327498453,-1.2642925326655785,0.0,-16.122482116800917,0.014724517102059909,0.005546436033863901,15
7,336.4328657314629,345.41082164328657,-0.04815360149512671,-3.611844013595711,-2.6118440132338883,0.0,-21.39440744144271,0.024276074135364645,0.008785007469200226,15
8,346.05210420841684,355.0300601202405,-0.05899770505468638,-6.415629529854527,-5.415629529048616,0.0,-29.674962149472456,0.030787876194608987,0.010785873655829385,15
9,355.67134268537075,364.0080160320641,-0.07721912997915581,-12.157205631968537,-11.157205632494893,0.0,-44.86848095768336,0.03408939957514345,0.010643758147074538,14
10,364.6492985971944,373.627254509018,-0.10758394353160838,-22.54577073834696,-21.54577073909536,0.0,-71.0663980277152,0.03589008323619858,0.01243169520372831,15
11,374.2685370741483,383.246492985972,-0.16540207248283423,-43.55046816506558,-42.55046816759034,0.0,-122.31238774796607,0.03829486023375317,0.013382021172155116,15
12,383.8877755511022,392.86573146292585,-0.2669387750842134,-82.68438097047692,-81.68438097477804,0.0,-215.00092475310547,0.04294390024626793,0.0152166404264662,15
13,393.5070140280561,401.8436873747495,-0.4396585353561022,-153.3573889602735,-152.35738895569284,0.0,-377.7540819228962,0.05176413829696003,0.01666291522376844,14
14,402.48496993987976,411.4629258517034,-0.7012965639319191,-266.7941674516783,-265.79416745420303,0.0,-632.2507047813032,0.0659068599342163,0.024039143102893,15
15,412.10420841683367,421.0821643286573,-1.145928422374709,-471.15544289511035,-470.1554429402677,0.0,-1079.1127664205728,0.09049948294368448,0.033381045515088206,15
16,421.7234468937876,430.7014028056112,-1.8443882368046616,-811.8267122370071,-810.8267122963753,0.0,-1805.1718966776266,0.12925695174430984,0.04804763957343994,15
17,431.3426853707415,439.67935871743487,-2.916772245953325,-1366.3903960150492,-1365.3903961596825,0.0,-2958.0548792865648,0.18825756613699696,0.06242149305721715,14
18,440.32064128256513,449.93987975951904,-4.5287646344149834,-2249.317714984045,-2248.3177151571,0.0,-4749.84244942419,0.3608756999110483,0.11939609978557542,16
19,450.5811623246493,460.2004008016032,-7.097028401403804,-3740.7735629813033,-3739.7735632112017,0.0,-7704.059286095062,0.5394791829909309,0.17883573342170678,16
20,460.8416833667335,470.4609218436874,-10.901187692979875,-6083.92277990788,-6082.922780251465,0.0,-12234.75074821214,0.7982859142068719,0.26495726930700414,16
21,471.10220440881767,480.0801603206413,-16.02078009454999,-9417.708823093562,-9416.708823891895,0.0,-18537.46906522057,0.87045521779919,0.3276050604780418,15
22,480.7214428857715,490.34068136272543,-23.73682355027995,-14725.962043485197,-14724.962043601408,0.0,-28354.891841265693,1.64082611310414,0.5453149236829518,16
23,490.9819639278557,499.95991983967934,-33.78605742909713,-22018.516092884965,-22017.516093001177,0.0,-41560.30504935716,1.7425823108133045,0.6564698676741804,15
24,500.6012024048096,510.2204408817635,-48.47090986004332,-33251.63771478401,-33250.63771535497,0.0,-61486.17382522101,3.191849655479018,1.0615658642921062,16
25,510.8617234468938,519.8396793587174,-67.05292435071897,-48213.866900368885,-48212.86690003035,0.0,-87505.35327811443,3.3027238209087955,1.2450203615860422,15
26,520.4809619238476,530.1002004008016,-93.47729974251706,-70595.0878236763,-70594.08782151877,0.0,-125679.24870859613,5.888694040255359,1.9595137823598634,16
27,530.7414829659318,540.3607214428857,-128.56082867074292,-101866.37280094146,-101865.37280787888,0.0,-177995.37449520038,7.923959290383209,2.6372701845757547,16
28,541.002004008016,550.6212424849699,-174.5671579556074,-144976.78728730534,-144975.78730151872,0.0,-248779.66044158564,10.532110069776536,3.5061022125441923,16
29,551.2625250501002,560.2404809619238,-230.0126652698964,-199454.02050871053,-199453.02051564795,0.0,-336670.6982683553,10.404368102019362,3.9256912597469635,15
30,560.8817635270541,570.501002004008,-305.2986794500612,-276967.3658913234,-276966.36591281276,0.0,-459601.0324424963,17.69615384787903,5.892806022739933,16
31,571.1422845691383,580.1202404809619,-394.2274270229973,-372805.50384457456,-372804.50387333985,0.0,-609096.3430934256,17.14450889888394,6.471021636452254,15
32,580.7615230460922,590.3807615230461,-512.6965988893062,-506366.25445622485,-506365.2544922661,0.0,-814090.0613166533,28.587800691006123,9.523082867471203,16
33,591.0220440881764,600.0,-650.1397292595357,-668298.2676720712,-668297.2676353529,0.0,-1058769.790302867,27.217209324706346,10.27659174631117,15
