Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.04679,0.01787
2,0.07133,0.02123
3,0.0286,0.01204
4,0.0341,0.01105
5,0.09067,0.01681
6,0.07381,0.01733
7,0.03207,0.04227
8,0.0771,0.01724
9,0.02939,0.03892
10,0.02246,0.03723
11,0.03374,0.01143
12,0.0272,0.01834
13,0.05921,0.01621
14,0.03752,0.0159
15,0.07219,0.03178
16,0.03105,0.0156
17,0.01972,0.03279
18,0.03905,0.04019
19,0.08429,0.01378
20,0.02386,0.01415
21,0.0206,0.01204
22,0.03791,0.01142
23,0.02846,0.03758
24,0.06817,0.0127
25,0.02271,0.01388
26,0.03047,0.01699
27,0.025,0.01799
28,0.03207,0.039
29,0.0212,0.01393
30,0.08915,0.03818
31,0.0476,0.01197
32,0.04466,0.01789
33,0.02586,0.01071
34,0.02309,0.0107
35,0.01774,0.03989
36,0.0289,0.01654
37,0.04225,0.01078
38,0.03181,0.01209
39,0.01096,0.01541
40,0.01747,0.02848
41,0.02535,0.01215
42,0.0989,0.01432
43,0.02387,0.01179
44,0.03865,0.01563
45,0.08681,0.04614
46,0.05529,0.01277
47,0.09814,0.01664
48,0.02691,0.0133
49,0.08171,0.01366
50,0.0267,0.07406
