Iteration,NN_Training_Error,KKThPINN_Training_Error
1,4e-05,0.00017
2,0.00012,0.00018
3,0.00023,0.00044
4,0.0003,0.00017
5,7e-05,0.00015
6,7e-05,0.00018
7,7e-05,0.00013
8,0.00015,0.00025
9,0.00012,0.00024
10,8e-05,0.00014
11,9e-05,0.00022
12,0.00019,0.00014
13,2e-05,0.00019
14,0.0001,0.00088
15,0.00023,0.00039
16,3e-05,0.00013
17,5e-05,0.00014
18,8e-05,0.00016
19,0.00013,0.00016
20,0.00019,0.00017
21,0.00017,0.00017
22,0.00017,0.00036
23,0.00012,0.00018
24,5e-05,0.00031
25,5e-05,0.00025
26,0.00013,0.0002
27,0.00013,0.00018
28,9e-05,0.00023
29,0.00011,0.00035
30,0.0002,0.00016
31,0.00019,0.00013
32,0.00011,0.00021
33,4e-05,0.00012
34,0.00205,0.00029
35,0.00013,0.00015
36,0.00024,0.00021
37,0.0002,0.00023
38,0.00011,0.00024
39,0.00016,0.00014
40,9e-05,0.00014
41,9e-05,0.00017
42,0.00021,0.00017
43,0.00015,0.00017
44,0.00019,0.00083
45,0.00549,0.00019
46,0.00021,0.00021
47,0.00022,0.00015
48,0.00018,0.00013
49,0.0002,0.00018
50,0.00016,0.00021
