region_id,C_low,C_high,C_center,h_C,depth,M_CC,estimated_cell_taylor_bound
0,0.5,0.5078125,0.50390625,0.0078125,7,8.973307578441807,7.530699414280692e-05
1,0.5078125,0.515625,0.51171875,0.0078125,7,8.902346233920289,7.471146283960204e-05
2,0.515625,0.5234375,0.51953125,0.0078125,7,8.830958438832747,7.411235262081926e-05
3,0.5234375,0.53125,0.52734375,0.0078125,7,8.759189491169034,7.351004364231825e-05
4,0.53125,0.5390625,0.53515625,0.0078125,7,8.687084134252133,7.290491140500906e-05
5,0.5390625,0.546875,0.54296875,0.0078125,7,8.61468605426469,7.229732253792694e-05
6,0.546875,0.5546875,0.55078125,0.0078125,7,8.54203785104525,7.168763455314466e-05
7,0.5546875,0.5625,0.55859375,0.0078125,7,8.469181012810132,7.107619563362996e-05
8,0.5625,0.5703125,0.56640625,0.0078125,7,8.39615589458719,7.046334445225457e-05
9,0.5703125,0.578125,0.57421875,0.0078125,7,8.32300170035042,6.984941002186175e-05
10,0.578125,0.5859375,0.58203125,0.0078125,7,8.249756468634079,6.923471157453528e-05
11,0.5859375,0.59375,0.58984375,0.0078125,7,8.176457061476759,6.861955846881435e-05
12,0.59375,0.6015625,0.59765625,0.0078125,7,8.103139156618516,6.800425012420936e-05
13,0.6015625,0.609375,0.60546875,0.0078125,7,8.029837242686334,6.738907598079657e-05
14,0.609375,0.6171875,0.61328125,0.0078125,7,7.95658461732064,6.677431548349537e-05
15,0.6171875,0.625,0.62109375,0.0078125,7,7.88341338800793,6.616023808905581e-05
16,0.625,0.6328125,0.62890625,0.0078125,7,7.81035447549475,6.554710329470997e-05
17,0.6328125,0.640625,0.63671875,0.0078125,7,7.737437619586195,6.493516068683482e-05
18,0.640625,0.6484375,0.64453125,0.0078125,7,7.664691387250928,6.432465000897232e-05
19,0.6484375,0.65625,0.65234375,0.0078125,7,7.592143182753377,6.371580124686215e-05
20,0.65625,0.6640625,0.66015625,0.0078125,7,7.519819259778743,6.310883473019881e-05
21,0.6640625,0.671875,0.66796875,0.0078125,7,7.447744735306516,6.250396124906287e-05
22,0.671875,0.6796875,0.67578125,0.0078125,7,7.375943605161002,6.190138218442613e-05
23,0.6796875,0.6875,0.68359375,0.0078125,7,7.304438761016963,6.130128965086868e-05
24,0.6875,0.6953125,0.69140625,0.0078125,7,7.233252008769463,6.0703866650744704e-05
25,0.6953125,0.703125,0.69921875,0.0078125,7,7.162404088151473,6.010928723882005e-05
26,0.703125,0.7109375,0.70703125,0.0078125,7,7.09191469338968,5.951771669562262e-05
27,0.7109375,0.71875,0.71484375,0.0078125,7,7.021802494848681,5.892931170908775e-05
28,0.71875,0.7265625,0.72265625,0.0078125,7,6.9520851615282275,5.834422056336251e-05
