Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00783,10.066780238877982,0.00165,12.325293148867786
2,0.004,9.460258464794606,0.00212,12.249114415142685
3,0.00276,9.549265222158283,0.00279,12.311849332880229
4,0.00893,9.730787464883178,0.0015,12.277109846938401
5,0.00496,9.509037684649229,0.00202,12.341822030954063
6,0.00518,9.453007373958826,0.00172,12.287683780305088
7,0.00521,9.422680112998933,0.00116,12.179996623657644
8,0.00511,9.408045541960746,0.00114,12.236825410276651
9,0.0084,9.395727371331304,0.00112,12.189412378240377
10,0.00493,9.415738252922893,0.00187,12.166887641884387
11,0.0058,9.49706100486219,0.00103,12.203475069254637
12,0.00142,9.461307025980204,0.00346,12.769089815672487
13,0.00676,9.491905510425568,0.00124,12.261134694796056
14,0.00146,9.507757291197777,0.00187,12.29413831140846
15,0.0038,10.36450726306066,0.00228,12.212462087161839
16,0.01124,9.592316649854183,0.0017,12.376472242176533
17,0.00556,9.583702380768955,0.00185,12.216171429026872
18,0.01127,9.486521088983864,0.00165,12.205200935248286
19,0.00188,9.705561791080981,0.00225,12.27003025682643
20,0.00838,9.584297586698085,0.00326,12.255900661926717
21,0.00378,9.45501870289445,0.0029,12.80750774173066
22,0.00858,9.54089435795322,0.00167,12.402337500825524
23,0.00936,9.505804046988487,0.00187,12.444087103009224
24,0.0037,9.483991785906255,0.00204,12.339613209944218
25,0.00519,9.464885300956666,0.00215,12.237145049031824
26,0.00496,9.485654892865568,0.00137,12.259783922694623
27,0.00382,9.52235229499638,0.00348,12.31423255102709
28,0.00168,9.587001597043127,0.00209,12.211651257239282
29,0.0132,9.477037365082651,0.00115,12.248936360236257
30,0.00682,9.499195146374404,0.00292,12.223514671903104
31,0.00216,9.551036290824413,0.00226,12.588520200923085
32,0.00549,9.465462918858975,0.00319,12.159700330812484
33,0.00885,9.48471435206011,0.00172,12.23713254975155
34,0.0042,9.484054083935916,0.00175,12.257771673146635
35,0.00754,9.536648831795901,0.00176,12.567445633932948
36,0.01028,9.423574001062661,0.00215,12.479964337777346
37,0.0058,9.445476867258549,0.00288,12.683624820318073
38,0.00473,9.45868781907484,0.00081,12.35888141207397
39,0.00879,9.441325806081295,0.00108,13.314558701124042
40,0.00369,9.539941852912307,0.00098,12.289384134113789
41,0.0043,9.743793867062777,0.00159,12.342366886790842
42,0.0026,9.577191804070026,0.00185,12.18606561794877
43,0.00194,9.493727853056043,0.00109,12.844097273889929
44,0.00573,9.49694014666602,0.00225,12.269803678616881
45,0.00276,9.53002946684137,0.00245,12.248546950984746
46,0.00618,9.483027847018093,0.00128,12.329191843047738
47,0.00231,10.04843628918752,0.00163,12.17108883196488
48,0.00156,9.504871641285717,0.00149,12.382493578828871
49,0.00217,9.462399045936763,0.00153,12.296270983759314
50,0.00898,9.519330346025527,0.00203,12.317360596731305
